Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
622 -05/02/2025,USD,S.F.T.,05/02/2025,22,3.687,6 Ay,"1,032.500","1,036.500",0.6200
616 -13/03/2025,USD,S.F.T.,13/03/2025,58,2.125,6 Ay,"1,008.000","1,018.000",1.9500
659 -14/10/2025,USD,S.F.T.,14/04/2025,90,3.187,6 Ay,"1,020.000","1,033.000",4.0300
691 -26/01/2026,USD,S.F.T.,26/01/2025,12,2.375,6 Ay,"1,009.000","1,022.000",4.7600
669 -14/04/2026,USD,S.F.T.,14/04/2025,90,2.125,6 Ay,988.000,"1,001.000",5.0500
680 -09/10/2026,USD,S.F.T.,09/04/2025,85,2.437,6 Ay,992.000,"1,005.000",5.3500
637 -25/03/2027,USD,S.F.T.,25/03/2025,70,3.000,6 Ay,"1,010.000","1,025.000",5.6600
611 -24/09/2027,USD,S.F.T.,24/03/2025,69,4.300,6 Ay,"1,080.000","1,095.000",5.8000
629 -15/01/2028,USD,S.F.T.,15/01/2025,1,4.937,6 Ay,"1,138.000","1,153.000",6.0400
638 -17/02/2028,USD,S.F.T.,17/02/2025,34,2.562,6 Ay,974.000,990.000,6.2400
654 -24/10/2028,USD,S.F.T.,24/04/2025,100,3.062,6 Ay,993.000,"1,009.000",6.2600
688 -14/03/2029,USD,S.F.T.,14/03/2025,59,4.687,6 Ay,"1,117.000","1,133.000",6.5400
645 -26/04/2029,USD,S.F.T.,26/04/2025,102,3.812,6 Ay,"1,036.000","1,053.000",6.6300
630 -15/01/2030,USD,S.F.T.,15/01/2025,1,5.937,6 Ay,"1,281.000","1,305.000",6.1000
668 -13/03/2030,USD,S.F.T.,13/03/2025,58,2.625,6 Ay,934.000,952.000,6.7800
695 -13/07/2030,USD,S.F.T.,13/07/2025,180,4.562,6 Ay,"1,087.000","1,105.000",6.8100
628 -15/01/2031,USD,S.F.T.,15/01/2025,1,2.975,6 Ay,959.000,977.000,7.0400
698 -26/06/2031,USD,S.F.T.,26/06/2025,163,2.937,6 Ay,924.000,942.000,7.0700
624 -17/07/2032,USD,S.F.T.,17/01/2025,3,3.562,6 Ay,"1,006.000","1,026.000",7.2800
617 -19/01/2033,USD,S.F.T.,19/01/2025,5,4.687,6 Ay,"1,146.000","1,166.000",7.3600
623 -20/09/2033,USD,S.F.T.,20/03/2025,65,3.250,6 Ay,943.000,965.000,7.3800
631 -14/02/2034,USD,S.F.T.,14/02/2025,31,4.000,6 Ay,"1,061.000","1,086.000",7.2000
660 -15/05/2034,USD,S.F.T.,15/05/2025,121,3.812,6 Ay,"1,004.000","1,025.000",7.4300
644*** -03/01/2035,USD,S.F.T.,03/07/2025,170,3.250,6 Ay,912.000,935.000,7.4600
670 -17/03/2036,USD,S.F.T.,17/03/2025,62,3.437,6 Ay,951.000,974.000,7.5200
663 -05/03/2038,USD,S.F.T.,05/03/2025,50,3.625,6 Ay,"1,002.000","1,026.000",7.2500
675 -30/05/2040,USD,S.F.T.,30/05/2025,136,3.375,6 Ay,886.000,913.000,7.8200
678 -14/01/2041,USD,S.F.T.,14/01/2025,181,3.000,6 Ay,800.000,821.000,8.0000
667 -16/04/2043,USD,S.F.T.,16/04/2025,92,2.437,6 Ay,683.000,706.000,8.1100
615 -17/02/2045,USD,S.F.T.,17/02/2025,34,3.312,6 Ay,844.000,868.000,8.2600
610 -11/05/2047,USD,S.F.T.,11/05/2025,117,2.875,6 Ay,732.000,752.000,8.2700
613 -31/03/2025,EUR,S.F.T.,31/03/2025,76,4.625,12 Ay,"1,037.000","1,045.000",0.5700
646 -14/06/2025,EUR,S.F.T.,14/06/2025,151,3.250,12 Ay,"1,014.000","1,026.000",1.2900
647 -16/02/2026,EUR,S.F.T.,16/02/2025,33,5.200,12 Ay,"1,059.000","1,077.000",2.3100
642 -08/07/2027,EUR,S.F.T.,08/07/2025,175,4.375,12 Ay,"1,029.000","1,047.000",3.2900
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,127,6.854,12 Ay,"1,077.000","1,095.000",4.8300
