Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
659 -14/10/2025,USD,S.F.T.,14/04/2025,20,3.187,6 Ay,"1,030.000","1,044.000",3.5200
691 -26/01/2026,USD,S.F.T.,26/07/2025,123,2.375,6 Ay,994.000,"1,009.000",4.5900
669 -14/04/2026,USD,S.F.T.,14/04/2025,20,2.125,6 Ay,998.000,"1,013.000",4.8400
680 -09/10/2026,USD,S.F.T.,09/04/2025,15,2.437,6 Ay,"1,003.000","1,018.000",5.1800
637 -25/03/2027,USD,S.F.T.,25/03/2025,184,3.000,6 Ay,992.000,"1,009.000",5.5200
611 -24/09/2027,USD,S.F.T.,24/09/2025,183,4.300,6 Ay,"1,051.000","1,068.000",5.6500
629 -15/01/2028,USD,S.F.T.,15/07/2025,112,4.937,6 Ay,"1,102.000","1,119.000",5.9500
638 -17/02/2028,USD,S.F.T.,17/08/2025,145,2.562,6 Ay,965.000,983.000,5.9800
654 -24/10/2028,USD,S.F.T.,24/04/2025,30,3.062,6 Ay,"1,007.000","1,025.000",6.1400
688 -14/03/2029,USD,S.F.T.,14/09/2025,173,4.687,6 Ay,"1,085.000","1,103.000",6.4700
645 -26/04/2029,USD,S.F.T.,26/04/2025,32,3.812,6 Ay,"1,052.000","1,071.000",6.5100
630 -15/01/2030,USD,S.F.T.,15/07/2025,112,5.937,6 Ay,"1,230.000","1,256.000",6.1900
668 -13/03/2030,USD,S.F.T.,13/09/2025,172,2.625,6 Ay,923.000,943.000,6.6600
695 -13/07/2030,USD,S.F.T.,13/07/2025,110,4.562,6 Ay,"1,100.000","1,120.000",6.8000
628 -15/01/2031,USD,S.F.T.,15/07/2025,112,2.975,6 Ay,942.000,962.000,7.0000
698 -26/06/2031,USD,S.F.T.,26/06/2025,93,2.937,6 Ay,937.000,957.000,7.0300
662 -12/02/2032,USD,S.F.T.,12/08/2025,140,3.562,6 Ay,982.000,"1,002.000",7.2400
624 -17/07/2032,USD,S.F.T.,17/07/2025,114,3.562,6 Ay,985.000,"1,007.000",7.2400
617 -19/01/2033,USD,S.F.T.,19/07/2025,116,4.687,6 Ay,"1,116.000","1,138.000",7.3100
623 -20/09/2033,USD,S.F.T.,20/09/2025,179,3.250,6 Ay,929.000,951.000,7.3000
631 -14/02/2034,USD,S.F.T.,14/08/2025,142,4.000,6 Ay,"1,044.000","1,068.000",7.0900
660 -15/05/2034,USD,S.F.T.,15/05/2025,51,3.812,6 Ay,"1,023.000","1,045.000",7.3600
644 -03/01/2035,USD,S.F.T.,03/07/2025,100,3.250,6 Ay,932.000,954.000,7.3800
670 -17/03/2036,USD,S.F.T.,17/09/2025,176,3.437,6 Ay,940.000,962.000,7.4100
663 -05/03/2038,USD,S.F.T.,05/09/2025,164,3.625,6 Ay,990.000,"1,014.000",7.1300
675 -30/05/2040,USD,S.F.T.,30/05/2025,66,3.375,6 Ay,915.000,941.000,7.6500
678 -14/01/2041,USD,S.F.T.,14/07/2025,111,3.000,6 Ay,820.000,844.000,7.8700
667 -16/04/2043,USD,S.F.T.,16/04/2025,22,2.437,6 Ay,704.000,728.000,7.9700
615 -17/02/2045,USD,S.F.T.,17/08/2025,145,3.312,6 Ay,835.000,859.000,8.1400
610 -11/05/2047,USD,S.F.T.,11/05/2025,47,2.875,6 Ay,758.000,782.000,8.0900
613 -31/03/2025,EUR,S.F.T.,31/03/2025,6,4.625,12 Ay,"1,044.200","1,046.200",0.2900
646 -14/06/2025,EUR,S.F.T.,14/06/2025,81,3.250,12 Ay,"1,024.000","1,030.000",1.0900
647 -16/02/2026,EUR,S.F.T.,16/02/2026,328,5.200,12 Ay,"1,009.000","1,027.000",2.7100
642 -08/07/2027,EUR,S.F.T.,08/07/2025,105,4.375,12 Ay,"1,031.000","1,049.000",3.5400
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,57,6.854,12 Ay,"1,072.000","1,090.000",5.1800
