Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,67,2.125,6 Ay,"1,014.000","1,018.000",1.6900
680 -09/10/2026,USD,S.F.T.,09/04/2026,62,2.437,6 Ay,"1,018.000","1,027.000",3.1800
637 -25/03/2027,USD,S.F.T.,25/03/2026,47,3.000,6 Ay,"1,035.000","1,049.000",3.5300
611 -24/09/2027,USD,S.F.T.,24/03/2026,46,4.300,6 Ay,"1,091.000","1,105.000",3.9100
629 -15/01/2028,USD,S.F.T.,15/07/2026,159,4.937,6 Ay,"1,094.000","1,108.000",4.3300
638 -17/02/2028,USD,S.F.T.,17/02/2026,11,2.562,6 Ay,"1,022.000","1,037.000",4.4500
654 -24/10/2028,USD,S.F.T.,24/04/2026,77,3.062,6 Ay,"1,039.000","1,054.000",4.6700
688 -14/03/2029,USD,S.F.T.,14/03/2026,36,4.687,6 Ay,"1,147.000","1,162.000",4.9800
645 -26/04/2029,USD,S.F.T.,26/04/2026,79,3.812,6 Ay,"1,082.000","1,098.000",5.0100
630 -15/01/2030,USD,S.F.T.,15/07/2026,159,5.937,6 Ay,"1,233.000","1,258.000",4.8100
668 -13/03/2030,USD,S.F.T.,13/03/2026,35,2.625,6 Ay,"1,000.000","1,020.000",5.2700
695 -13/07/2030,USD,S.F.T.,13/07/2026,157,4.562,6 Ay,"1,131.000","1,151.000",5.4000
628 -15/01/2031,USD,S.F.T.,15/07/2026,159,2.975,6 Ay,997.000,"1,017.000",5.6300
698 -26/06/2031,USD,S.F.T.,26/06/2026,140,2.937,6 Ay,991.000,"1,011.000",5.7800
662 -12/02/2032,USD,S.F.T.,12/02/2026,6,3.562,6 Ay,"1,073.000","1,093.000",5.9500
650 -29/05/2032,USD,S.F.T.,29/05/2026,112,3.625,6 Ay,"1,055.000","1,075.000",6.0600
624 -17/07/2032,USD,S.F.T.,17/07/2026,161,3.562,6 Ay,"1,037.000","1,059.000",6.0800
617 -19/01/2033,USD,S.F.T.,19/07/2026,163,4.687,6 Ay,"1,158.000","1,180.000",6.2200
692*** -14/03/2033,USD,S.F.T.,14/03/2026,36,1.050,6 Ay,984.000,"1,006.000",6.2600
623 -20/09/2033,USD,S.F.T.,20/03/2026,42,3.250,6 Ay,"1,016.000","1,038.000",6.2700
631 -14/02/2034,USD,S.F.T.,14/02/2026,8,4.000,6 Ay,"1,128.000","1,152.000",6.1800
660 -15/05/2034,USD,S.F.T.,15/05/2026,98,3.812,6 Ay,"1,073.000","1,095.000",6.4000
644 -03/01/2035,USD,S.F.T.,03/07/2026,147,3.250,6 Ay,988.000,"1,010.000",6.4400
612 -16/09/2035,USD,S.F.T.,16/03/2026,38,3.475,6 Ay,"1,031.000","1,053.000",6.5800
670 -17/03/2036,USD,S.F.T.,17/03/2026,39,3.437,6 Ay,"1,029.000","1,053.000",6.5100
636 -04/11/2036,USD,S.F.T.,04/05/2026,87,3.400,6 Ay,"1,005.000","1,027.000",6.6700
601 -14/01/2038,USD,S.F.T.,14/07/2026,158,3.437,6 Ay,985.000,"1,007.000",6.8400
663 -05/03/2038,USD,S.F.T.,05/03/2026,27,3.625,6 Ay,"1,069.000","1,094.000",6.4800
675 -30/05/2040,USD,S.F.T.,30/05/2026,113,3.375,6 Ay,971.000,999.000,6.9000
678 -14/01/2041,USD,S.F.T.,14/07/2026,158,3.000,6 Ay,879.000,905.000,7.0800
667 -16/04/2043,USD,S.F.T.,16/04/2026,69,2.437,6 Ay,759.000,783.000,7.2600
615 -17/02/2045,USD,S.F.T.,17/02/2026,11,3.312,6 Ay,933.000,957.000,7.3500
610 -11/05/2047,USD,S.F.T.,11/05/2026,94,2.875,6 Ay,810.000,834.000,7.4400
647 -16/02/2026,EUR,S.F.T.,16/02/2026,10,5.200,12 Ay,"1,049.700","1,051.700",1.0400
642 -08/07/2027,EUR,S.F.T.,08/07/2026,152,4.375,12 Ay,"1,046.000","1,061.000",1.8100
682 -21/05/2030,EUR,S.F.T.,21/05/2026,104,5.875,12 Ay,"1,111.000","1,127.000",3.6900
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,192,5.641,12 Ay,"1,057.000","1,073.000",4.2800
