Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
612 -14/11/2024,USD,S.F.T.,14/11/2024,65,2.800,6 Ay,"1,013.000","1,023.000",2.7500
622 -05/02/2025,USD,S.F.T.,05/02/2025,148,3.687,6 Ay,"1,010.000","1,020.000",4.1100
616 -13/03/2025,USD,S.F.T.,13/09/2024,3,2.125,6 Ay,"1,008.000","1,022.000",4.0300
659 -14/10/2025,USD,S.F.T.,14/10/2024,34,3.187,6 Ay,"1,032.000","1,046.000",4.4600
691 -26/01/2026,USD,S.F.T.,26/01/2025,138,2.375,6 Ay,993.000,"1,007.000",4.6600
669 -14/04/2026,USD,S.F.T.,14/10/2024,34,2.125,6 Ay,997.000,"1,011.000",4.6600
680 -09/10/2026,USD,S.F.T.,09/10/2024,29,2.437,6 Ay,"1,005.000","1,019.000",4.9500
637 -25/03/2027,USD,S.F.T.,25/09/2024,15,3.000,6 Ay,"1,031.000","1,047.000",5.1700
611 -24/09/2027,USD,S.F.T.,24/09/2024,14,4.300,6 Ay,"1,114.000","1,130.000",5.3400
629 -15/01/2028,USD,S.F.T.,15/01/2025,127,4.937,6 Ay,"1,129.000","1,145.000",5.5600
638 -17/02/2028,USD,S.F.T.,17/02/2025,160,2.562,6 Ay,975.000,992.000,5.4900
654 -24/10/2028,USD,S.F.T.,24/10/2024,44,3.062,6 Ay,"1,024.000","1,041.000",5.6300
688 -14/03/2029,USD,S.F.T.,14/09/2024,4,4.687,6 Ay,"1,160.000","1,177.000",6.0100
645 -26/04/2029,USD,S.F.T.,26/10/2024,46,3.812,6 Ay,"1,074.000","1,092.000",6.0300
630 -15/01/2030,USD,S.F.T.,15/01/2025,127,5.937,6 Ay,"1,288.000","1,312.000",5.4600
668 -13/03/2030,USD,S.F.T.,13/09/2024,3,2.625,6 Ay,971.000,990.000,6.0200
695 -13/07/2030,USD,S.F.T.,13/01/2025,125,4.562,6 Ay,"1,133.000","1,151.000",6.2900
628 -15/01/2031,USD,S.F.T.,15/01/2025,127,2.975,6 Ay,966.000,984.000,6.4400
698 -26/06/2031,USD,S.F.T.,26/12/2024,107,2.937,6 Ay,961.000,979.000,6.4800
624 -17/07/2032,USD,S.F.T.,17/01/2025,129,3.562,6 Ay,"1,018.000","1,038.000",6.6700
617 -19/01/2033,USD,S.F.T.,19/01/2025,131,4.687,6 Ay,"1,161.000","1,181.000",6.7200
623 -20/09/2033,USD,S.F.T.,20/09/2024,10,3.250,6 Ay,998.000,"1,018.000",6.6900
631 -14/02/2034,USD,S.F.T.,14/02/2025,157,4.000,6 Ay,"1,088.000","1,110.000",6.5000
660 -15/05/2034,USD,S.F.T.,15/11/2024,66,3.812,6 Ay,"1,064.000","1,084.000",6.7700
670 -17/03/2036,USD,S.F.T.,17/09/2024,7,3.437,6 Ay,"1,006.000","1,026.000",6.9600
663 -05/03/2038,USD,S.F.T.,05/03/2025,176,3.625,6 Ay,"1,012.000","1,032.000",6.8900
675 -30/05/2040,USD,S.F.T.,30/11/2024,81,3.375,6 Ay,952.000,976.000,7.2100
678 -14/01/2041,USD,S.F.T.,14/01/2025,126,3.000,6 Ay,866.000,886.000,7.3000
667 -16/04/2043,USD,S.F.T.,16/10/2024,36,2.437,6 Ay,750.000,770.000,7.3600
615 -17/02/2045,USD,S.F.T.,17/02/2025,160,3.312,6 Ay,890.000,910.000,7.5400
610 -11/05/2047,USD,S.F.T.,11/11/2024,62,2.875,6 Ay,806.000,826.000,7.5400
613 -31/03/2025,EUR,S.F.T.,31/03/2025,202,4.625,12 Ay,"1,018.000","1,034.000",2.1400
646 -14/06/2025,EUR,S.F.T.,14/06/2025,277,3.250,12 Ay,999.000,"1,015.000",2.2700
647 -16/02/2026,EUR,S.F.T.,16/02/2025,159,5.200,12 Ay,"1,040.000","1,058.000",3.1200
642 -08/07/2027,EUR,S.F.T.,08/07/2025,301,4.375,12 Ay,"1,010.000","1,028.000",3.6000
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,253,6.854,12 Ay,"1,046.000","1,064.000",5.1200
