
659 -14/10/2025,USD,S.F.T.,14/10/2025,165,3.187,6 Ay,"1,003.000","1,017.000",3.2100
691 -26/01/2026,USD,S.F.T.,26/07/2025,85,2.375,6 Ay,"1,002.000","1,017.000",4.1000
669 -14/04/2026,USD,S.F.T.,14/10/2025,165,2.125,6 Ay,983.000,998.000,4.6700
680 -09/10/2026,USD,S.F.T.,09/10/2025,160,2.437,6 Ay,986.000,"1,001.000",5.0100
637 -25/03/2027,USD,S.F.T.,25/09/2025,146,3.000,6 Ay,999.000,"1,016.000",5.4300
611 -24/09/2027,USD,S.F.T.,24/09/2025,145,4.300,6 Ay,"1,054.000","1,071.000",5.7700
629 -15/01/2028,USD,S.F.T.,15/07/2025,74,4.937,6 Ay,"1,104.000","1,121.000",6.1200
638 -17/02/2028,USD,S.F.T.,17/08/2025,107,2.562,6 Ay,968.000,986.000,6.0800
654 -24/10/2028,USD,S.F.T.,24/10/2025,175,3.062,6 Ay,979.000,997.000,6.2500
688 -14/03/2029,USD,S.F.T.,14/09/2025,135,4.687,6 Ay,"1,085.000","1,103.000",6.6600
645 -26/04/2029,USD,S.F.T.,26/10/2025,177,3.812,6 Ay,"1,015.000","1,034.000",6.6600
630 -15/01/2030,USD,S.F.T.,15/07/2025,74,5.937,6 Ay,"1,229.000","1,255.000",6.3800
668 -13/03/2030,USD,S.F.T.,13/09/2025,134,2.625,6 Ay,924.000,944.000,6.7900
695 -13/07/2030,USD,S.F.T.,13/07/2025,72,4.562,6 Ay,"1,103.000","1,123.000",6.9000
628 -15/01/2031,USD,S.F.T.,15/07/2025,74,2.975,6 Ay,944.000,964.000,7.1000
698 -26/06/2031,USD,S.F.T.,26/06/2025,55,2.937,6 Ay,938.000,958.000,7.1400
662 -12/02/2032,USD,S.F.T.,12/08/2025,102,3.562,6 Ay,982.000,"1,002.000",7.3800
624 -17/07/2032,USD,S.F.T.,17/07/2025,76,3.562,6 Ay,984.000,"1,006.000",7.3800
617 -19/01/2033,USD,S.F.T.,19/07/2025,78,4.687,6 Ay,"1,115.000","1,137.000",7.4600
623 -20/09/2033,USD,S.F.T.,20/09/2025,141,3.250,6 Ay,926.000,948.000,7.4600
631 -14/02/2034,USD,S.F.T.,14/08/2025,104,4.000,6 Ay,"1,039.000","1,063.000",7.2800
660 -15/05/2034,USD,S.F.T.,15/05/2025,13,3.812,6 Ay,"1,021.000","1,043.000",7.5000
644 -03/01/2035,USD,S.F.T.,03/07/2025,62,3.250,6 Ay,927.000,949.000,7.5600
670 -17/03/2036,USD,S.F.T.,17/09/2025,138,3.437,6 Ay,932.000,954.000,7.6200
663 -05/03/2038,USD,S.F.T.,05/09/2025,126,3.625,6 Ay,974.000,998.000,7.4100
675 -30/05/2040,USD,S.F.T.,30/05/2025,28,3.375,6 Ay,900.000,926.000,7.9200
678 -14/01/2041,USD,S.F.T.,14/07/2025,73,3.000,6 Ay,805.000,829.000,8.1500
667 -16/04/2043,USD,S.F.T.,16/10/2025,167,2.437,6 Ay,665.000,689.000,8.2400
615 -17/02/2045,USD,S.F.T.,17/08/2025,107,3.312,6 Ay,817.000,841.000,8.4300
610 -11/05/2047,USD,S.F.T.,11/05/2025,9,2.875,6 Ay,738.000,762.000,8.4100
646 -14/06/2025,EUR,S.F.T.,14/06/2025,43,3.250,12 Ay,"1,026.000","1,032.000",0.3900
647 -16/02/2026,EUR,S.F.T.,16/02/2026,290,5.200,12 Ay,"1,021.000","1,039.000",1.5600
642 -08/07/2027,EUR,S.F.T.,08/07/2025,67,4.375,12 Ay,"1,046.000","1,066.000",2.9100
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,19,6.854,12 Ay,"1,089.000","1,109.000",4.8700
