Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
612 -14/11/2024,USD,S.F.T.,14/11/2024,58,2.800,6 Ay,"1,015.000","1,025.000",1.8500
622 -05/02/2025,USD,S.F.T.,05/02/2025,141,3.687,6 Ay,"1,012.000","1,022.000",3.8000
616 -13/03/2025,USD,S.F.T.,13/03/2025,177,2.125,6 Ay,989.000,"1,003.000",3.7200
659 -14/10/2025,USD,S.F.T.,14/10/2024,27,3.187,6 Ay,"1,036.000","1,050.000",4.1700
691 -26/01/2026,USD,S.F.T.,26/01/2025,131,2.375,6 Ay,998.000,"1,012.000",4.3400
669 -14/04/2026,USD,S.F.T.,14/10/2024,27,2.125,6 Ay,"1,002.000","1,016.000",4.3900
680 -09/10/2026,USD,S.F.T.,09/10/2024,22,2.437,6 Ay,"1,011.000","1,025.000",4.6900
637 -25/03/2027,USD,S.F.T.,25/09/2024,8,3.000,6 Ay,"1,039.000","1,055.000",4.8800
611 -24/09/2027,USD,S.F.T.,24/09/2024,7,4.300,6 Ay,"1,123.000","1,139.000",5.0700
629 -15/01/2028,USD,S.F.T.,15/01/2025,120,4.937,6 Ay,"1,139.000","1,155.000",5.2900
638 -17/02/2028,USD,S.F.T.,17/02/2025,153,2.562,6 Ay,985.000,"1,002.000",5.2000
654 -24/10/2028,USD,S.F.T.,24/10/2024,37,3.062,6 Ay,"1,033.000","1,050.000",5.4200
688 -14/03/2029,USD,S.F.T.,14/03/2025,178,4.687,6 Ay,"1,126.000","1,143.000",5.7400
645 -26/04/2029,USD,S.F.T.,26/10/2024,39,3.812,6 Ay,"1,085.000","1,103.000",5.7900
630 -15/01/2030,USD,S.F.T.,15/01/2025,120,5.937,6 Ay,"1,300.000","1,324.000",5.2600
668 -13/03/2030,USD,S.F.T.,13/03/2025,177,2.625,6 Ay,955.000,974.000,5.8200
695 -13/07/2030,USD,S.F.T.,13/01/2025,118,4.562,6 Ay,"1,145.000","1,163.000",6.0900
628 -15/01/2031,USD,S.F.T.,15/01/2025,120,2.975,6 Ay,977.000,995.000,6.2400
698 -26/06/2031,USD,S.F.T.,26/12/2024,100,2.937,6 Ay,973.000,991.000,6.2800
624 -17/07/2032,USD,S.F.T.,17/01/2025,122,3.562,6 Ay,"1,030.000","1,050.000",6.4900
617 -19/01/2033,USD,S.F.T.,19/01/2025,124,4.687,6 Ay,"1,173.000","1,193.000",6.5700
623 -20/09/2033,USD,S.F.T.,20/09/2024,3,3.250,6 Ay,"1,010.000","1,030.000",6.5300
631 -14/02/2034,USD,S.F.T.,14/02/2025,150,4.000,6 Ay,"1,101.000","1,123.000",6.3500
660 -15/05/2034,USD,S.F.T.,15/11/2024,59,3.812,6 Ay,"1,079.000","1,099.000",6.5900
670 -17/03/2036,USD,S.F.T.,17/09/2024,181,3.437,6 Ay,989.000,"1,009.000",6.7600
663 -05/03/2038,USD,S.F.T.,05/03/2025,169,3.625,6 Ay,"1,030.000","1,050.000",6.7100
675 -30/05/2040,USD,S.F.T.,30/11/2024,74,3.375,6 Ay,970.000,994.000,7.0300
678 -14/01/2041,USD,S.F.T.,14/01/2025,119,3.000,6 Ay,882.000,902.000,7.1300
667 -16/04/2043,USD,S.F.T.,16/10/2024,29,2.437,6 Ay,766.000,786.000,7.1800
615 -17/02/2045,USD,S.F.T.,17/02/2025,153,3.312,6 Ay,907.000,927.000,7.3700
610 -11/05/2047,USD,S.F.T.,11/11/2024,55,2.875,6 Ay,823.000,843.000,7.3700
613 -31/03/2025,EUR,S.F.T.,31/03/2025,195,4.625,12 Ay,"1,019.000","1,035.000",2.0300
646 -14/06/2025,EUR,S.F.T.,14/06/2025,270,3.250,12 Ay,"1,000.000","1,016.000",2.2000
647 -16/02/2026,EUR,S.F.T.,16/02/2025,152,5.200,12 Ay,"1,043.000","1,061.000",2.9500
642 -08/07/2027,EUR,S.F.T.,08/07/2025,294,4.375,12 Ay,"1,012.000","1,030.000",3.5500
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,246,6.854,12 Ay,"1,055.000","1,073.000",4.9600
