Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
691 -26/01/2026,USD,S.F.T.,26/01/2026,47,2.375,6 Ay,"1,013.000","1,021.000",2.1100
669 -14/04/2026,USD,S.F.T.,14/04/2026,125,2.125,6 Ay,"1,002.500","1,012.500",2.5100
680 -09/10/2026,USD,S.F.T.,09/04/2026,120,2.437,6 Ay,"1,008.000","1,021.000",3.3000
637 -25/03/2027,USD,S.F.T.,25/03/2026,105,3.000,6 Ay,"1,027.000","1,042.000",3.6400
611 -24/09/2027,USD,S.F.T.,24/03/2026,104,4.300,6 Ay,"1,083.000","1,098.000",3.9300
629 -15/01/2028,USD,S.F.T.,15/01/2026,36,4.937,6 Ay,"1,134.000","1,149.000",4.3600
638 -17/02/2028,USD,S.F.T.,17/02/2026,69,2.562,6 Ay,"1,015.000","1,032.000",4.3500
654 -24/10/2028,USD,S.F.T.,24/04/2026,135,3.062,6 Ay,"1,032.000","1,049.000",4.5800
688 -14/03/2029,USD,S.F.T.,14/03/2026,94,4.687,6 Ay,"1,138.000","1,155.000",4.9200
645 -26/04/2029,USD,S.F.T.,26/04/2026,137,3.812,6 Ay,"1,075.000","1,093.000",4.9000
630 -15/01/2030,USD,S.F.T.,15/01/2026,36,5.937,6 Ay,"1,290.000","1,318.000",4.5700
668 -13/03/2030,USD,S.F.T.,13/03/2026,93,2.625,6 Ay,994.000,"1,014.000",5.2100
695 -13/07/2030,USD,S.F.T.,13/01/2026,34,4.562,6 Ay,"1,170.000","1,190.000",5.3300
628 -15/01/2031,USD,S.F.T.,15/01/2026,36,2.975,6 Ay,"1,021.000","1,041.000",5.5600
698 -26/06/2031,USD,S.F.T.,26/12/2025,16,2.937,6 Ay,"1,017.000","1,037.000",5.6600
662 -12/02/2032,USD,S.F.T.,12/02/2026,64,3.562,6 Ay,"1,069.000","1,089.000",5.8400
650 -29/05/2032,USD,S.F.T.,29/05/2026,170,3.625,6 Ay,"1,052.000","1,072.000",5.9300
624 -17/07/2032,USD,S.F.T.,17/01/2026,38,3.562,6 Ay,"1,070.000","1,092.000",5.9400
617 -19/01/2033,USD,S.F.T.,19/01/2026,40,4.687,6 Ay,"1,199.000","1,221.000",6.1400
623 -20/09/2033,USD,S.F.T.,20/03/2026,100,3.250,6 Ay,"1,017.000","1,039.000",6.1000
631 -14/02/2034,USD,S.F.T.,14/02/2026,66,4.000,6 Ay,"1,128.000","1,152.000",6.0200
660 -15/05/2034,USD,S.F.T.,15/05/2026,156,3.812,6 Ay,"1,075.000","1,097.000",6.2100
644 -03/01/2035,USD,S.F.T.,03/01/2026,24,3.250,6 Ay,"1,018.000","1,040.000",6.3300
612 -16/09/2035,USD,S.F.T.,16/03/2026,96,3.475,6 Ay,"1,030.000","1,052.000",6.4500
670 -17/03/2036,USD,S.F.T.,17/03/2026,97,3.437,6 Ay,"1,028.000","1,052.000",6.3900
636 -04/11/2036,USD,S.F.T.,04/05/2026,145,3.400,6 Ay,999.000,"1,021.000",6.6100
663 -05/03/2038,USD,S.F.T.,05/03/2026,85,3.625,6 Ay,"1,086.000","1,111.000",6.1700
675 -30/05/2040,USD,S.F.T.,30/05/2026,171,3.375,6 Ay,975.000,"1,001.000",6.7600
678 -14/01/2041,USD,S.F.T.,14/01/2026,35,3.000,6 Ay,910.000,936.000,6.9500
667 -16/04/2043,USD,S.F.T.,16/04/2026,127,2.437,6 Ay,762.000,786.000,7.1100
615 -17/02/2045,USD,S.F.T.,17/02/2026,69,3.312,6 Ay,937.000,961.000,7.2000
610 -11/05/2047,USD,S.F.T.,11/05/2026,152,2.875,6 Ay,810.000,834.000,7.3400
647 -16/02/2026,EUR,S.F.T.,16/02/2026,68,5.200,12 Ay,"1,041.000","1,051.000",0.5100
642 -08/07/2027,EUR,S.F.T.,08/07/2026,210,4.375,12 Ay,"1,039.000","1,059.000",1.7500
682 -21/05/2030,EUR,S.F.T.,21/05/2026,162,5.875,12 Ay,"1,098.000","1,118.000",3.7500
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,250,5.641,12 Ay,"1,046.000","1,066.000",4.2800
