
659 -14/10/2025,USD,S.F.T.,14/10/2025,176,3.187,6 Ay,"1,003.000","1,017.000",3.0400
691 -26/01/2026,USD,S.F.T.,26/07/2025,96,2.375,6 Ay,"1,001.000","1,016.000",4.1000
669 -14/04/2026,USD,S.F.T.,14/10/2025,176,2.125,6 Ay,983.000,998.000,4.5500
680 -09/10/2026,USD,S.F.T.,09/10/2025,171,2.437,6 Ay,986.000,"1,001.000",4.9200
637 -25/03/2027,USD,S.F.T.,25/09/2025,157,3.000,6 Ay,"1,000.000","1,017.000",5.3000
611 -24/09/2027,USD,S.F.T.,24/09/2025,156,4.300,6 Ay,"1,055.000","1,072.000",5.6700
629 -15/01/2028,USD,S.F.T.,15/07/2025,85,4.937,6 Ay,"1,106.000","1,123.000",5.9800
638 -17/02/2028,USD,S.F.T.,17/08/2025,118,2.562,6 Ay,972.000,990.000,5.8700
654 -24/10/2028,USD,S.F.T.,24/04/2025,3,3.062,6 Ay,"1,014.000","1,032.000",6.0600
688 -14/03/2029,USD,S.F.T.,14/09/2025,146,4.687,6 Ay,"1,089.000","1,107.000",6.5000
645 -26/04/2029,USD,S.F.T.,26/04/2025,5,3.812,6 Ay,"1,056.000","1,075.000",6.5300
630 -15/01/2030,USD,S.F.T.,15/07/2025,85,5.937,6 Ay,"1,232.000","1,258.000",6.2700
668 -13/03/2030,USD,S.F.T.,13/09/2025,145,2.625,6 Ay,927.000,947.000,6.6700
695 -13/07/2030,USD,S.F.T.,13/07/2025,83,4.562,6 Ay,"1,104.000","1,124.000",6.8300
628 -15/01/2031,USD,S.F.T.,15/07/2025,85,2.975,6 Ay,948.000,968.000,6.9700
698 -26/06/2031,USD,S.F.T.,26/06/2025,66,2.937,6 Ay,941.000,961.000,7.0400
662 -12/02/2032,USD,S.F.T.,12/08/2025,113,3.562,6 Ay,988.000,"1,008.000",7.2300
624 -17/07/2032,USD,S.F.T.,17/07/2025,87,3.562,6 Ay,989.000,"1,011.000",7.2600
617 -19/01/2033,USD,S.F.T.,19/07/2025,89,4.687,6 Ay,"1,120.000","1,142.000",7.3500
623 -20/09/2033,USD,S.F.T.,20/09/2025,152,3.250,6 Ay,931.000,953.000,7.3500
631 -14/02/2034,USD,S.F.T.,14/08/2025,115,4.000,6 Ay,"1,045.000","1,069.000",7.1600
660 -15/05/2034,USD,S.F.T.,15/05/2025,24,3.812,6 Ay,"1,024.000","1,046.000",7.4200
644 -03/01/2035,USD,S.F.T.,03/07/2025,73,3.250,6 Ay,932.000,954.000,7.4600
670 -17/03/2036,USD,S.F.T.,17/09/2025,149,3.437,6 Ay,940.000,962.000,7.4800
663 -05/03/2038,USD,S.F.T.,05/09/2025,137,3.625,6 Ay,983.000,"1,007.000",7.2800
675 -30/05/2040,USD,S.F.T.,30/05/2025,39,3.375,6 Ay,912.000,938.000,7.7500
678 -14/01/2041,USD,S.F.T.,14/07/2025,84,3.000,6 Ay,815.000,839.000,8.0000
667 -16/04/2043,USD,S.F.T.,16/10/2025,178,2.437,6 Ay,676.000,700.000,8.0700
615 -17/02/2045,USD,S.F.T.,17/08/2025,118,3.312,6 Ay,829.000,853.000,8.2700
610 -11/05/2047,USD,S.F.T.,11/05/2025,20,2.875,6 Ay,750.000,774.000,8.2400
646 -14/06/2025,EUR,S.F.T.,14/06/2025,54,3.250,12 Ay,"1,025.000","1,031.000",0.9800
647 -16/02/2026,EUR,S.F.T.,16/02/2026,301,5.200,12 Ay,"1,020.000","1,038.000",1.6400
642 -08/07/2027,EUR,S.F.T.,08/07/2025,78,4.375,12 Ay,"1,045.000","1,065.000",2.9200
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,30,6.854,12 Ay,"1,088.000","1,108.000",4.8700
