Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,8,2.125,6 Ay,"1,020.100","1,021.100",0.6600
680 -09/10/2026,USD,S.F.T.,09/04/2026,3,2.437,6 Ay,"1,019.000","1,029.000",3.8700
637 -25/03/2027,USD,S.F.T.,25/09/2026,172,3.000,6 Ay,"1,001.000","1,015.000",4.5900
611 -24/09/2027,USD,S.F.T.,24/09/2026,171,4.300,6 Ay,"1,039.000","1,053.000",5.0100
629 -15/01/2028,USD,S.F.T.,15/07/2026,100,4.937,6 Ay,"1,085.000","1,099.000",5.2800
638 -17/02/2028,USD,S.F.T.,17/08/2026,133,2.562,6 Ay,989.000,"1,004.000",5.2900
654 -24/10/2028,USD,S.F.T.,24/04/2026,18,3.062,6 Ay,"1,027.000","1,042.000",5.5100
688 -14/03/2029,USD,S.F.T.,14/09/2026,161,4.687,6 Ay,"1,083.700","1,098.700",5.8800
645 -26/04/2029,USD,S.F.T.,26/04/2026,20,3.812,6 Ay,"1,066.000","1,082.000",5.8800
630 -15/01/2030,USD,S.F.T.,15/07/2026,100,5.937,6 Ay,"1,205.000","1,230.000",5.8000
668 -13/03/2030,USD,S.F.T.,13/09/2026,160,2.625,6 Ay,955.000,975.000,6.0700
695 -13/07/2030,USD,S.F.T.,13/07/2026,98,4.562,6 Ay,"1,113.000","1,134.000",6.0800
628 -15/01/2031,USD,S.F.T.,15/07/2026,100,2.975,6 Ay,976.000,996.000,6.3800
698 -26/06/2031,USD,S.F.T.,26/06/2026,81,2.937,6 Ay,972.000,992.000,6.4300
662 -12/02/2032,USD,S.F.T.,12/08/2026,128,3.562,6 Ay,"1,010.000","1,030.000",6.7200
650 -29/05/2032,USD,S.F.T.,29/05/2026,53,3.625,6 Ay,"1,033.000","1,054.000",6.6800
624 -17/07/2032,USD,S.F.T.,17/07/2026,102,3.562,6 Ay,"1,008.000","1,030.000",6.8400
617 -19/01/2033,USD,S.F.T.,19/07/2026,104,4.687,6 Ay,"1,128.000","1,151.000",6.9200
692 -14/03/2033,USD,S.F.T.,14/09/2026,161,3.150,6 Ay,950.000,972.000,6.8800
623 -20/09/2033,USD,S.F.T.,20/09/2026,167,3.250,6 Ay,951.000,974.000,7.0000
631 -14/02/2034,USD,S.F.T.,14/08/2026,130,4.000,6 Ay,"1,059.000","1,083.000",6.8100
660 -15/05/2034,USD,S.F.T.,15/05/2026,39,3.812,6 Ay,"1,046.000","1,068.000",7.0000
644 -03/01/2035,USD,S.F.T.,03/07/2026,88,3.250,6 Ay,957.000,979.000,7.0900
612 -16/09/2035,USD,S.F.T.,16/09/2026,163,3.475,6 Ay,964.000,986.000,7.2100
670 -17/03/2036,USD,S.F.T.,17/09/2026,164,3.437,6 Ay,962.000,987.000,7.1100
636 -04/11/2036,USD,S.F.T.,04/05/2026,28,3.400,6 Ay,972.000,996.000,7.2500
601 -14/01/2038,USD,S.F.T.,14/07/2026,99,3.437,6 Ay,949.000,973.000,7.4200
663 -05/03/2038,USD,S.F.T.,05/09/2026,152,3.625,6 Ay,995.000,"1,020.000",7.0800
675 -30/05/2040,USD,S.F.T.,30/05/2026,54,3.375,6 Ay,934.000,959.000,7.5000
678 -14/01/2041,USD,S.F.T.,14/07/2026,99,3.000,6 Ay,845.000,872.000,7.6100
667 -16/04/2043,USD,S.F.T.,16/04/2026,10,2.437,6 Ay,729.000,754.000,7.7500
615 -17/02/2045,USD,S.F.T.,17/08/2026,133,3.312,6 Ay,860.000,885.000,7.9000
610 -11/05/2047,USD,S.F.T.,11/05/2026,35,2.875,6 Ay,776.000,801.000,7.9400
642 -08/07/2027,EUR,S.F.T.,08/07/2026,93,4.375,12 Ay,"1,043.000","1,055.000",2.5300
682 -21/05/2030,EUR,S.F.T.,21/05/2026,45,5.875,12 Ay,"1,093.000","1,108.000",4.3500
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,133,5.641,12 Ay,"1,036.000","1,051.000",4.9000
613*** -10/03/2034,EUR,S.F.T.,10/03/2027,338,5.545,12 Ay,972.000,989.000,5.4500
