Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
691 -26/01/2026,USD,S.F.T.,26/01/2026,70,2.375,6 Ay,"1,012.000","1,020.000",1.9200
669 -14/04/2026,USD,S.F.T.,14/04/2026,148,2.125,6 Ay,"1,000.000","1,010.000",2.7300
680 -09/10/2026,USD,S.F.T.,09/04/2026,143,2.437,6 Ay,"1,005.000","1,018.000",3.4000
637 -25/03/2027,USD,S.F.T.,25/03/2026,128,3.000,6 Ay,"1,022.000","1,037.000",3.8300
611 -24/09/2027,USD,S.F.T.,24/03/2026,127,4.300,6 Ay,"1,077.000","1,092.000",4.1000
629 -15/01/2028,USD,S.F.T.,15/01/2026,59,4.937,6 Ay,"1,128.000","1,143.000",4.4900
638 -17/02/2028,USD,S.F.T.,17/02/2026,92,2.562,6 Ay,"1,008.000","1,025.000",4.5500
654 -24/10/2028,USD,S.F.T.,24/04/2026,158,3.062,6 Ay,"1,021.000","1,038.000",4.8600
688 -14/03/2029,USD,S.F.T.,14/03/2026,117,4.687,6 Ay,"1,130.000","1,147.000",5.0500
645 -26/04/2029,USD,S.F.T.,26/04/2026,160,3.812,6 Ay,"1,065.000","1,083.000",5.1100
630 -15/01/2030,USD,S.F.T.,15/01/2026,59,5.937,6 Ay,"1,279.000","1,307.000",4.7300
668 -13/03/2030,USD,S.F.T.,13/03/2026,116,2.625,6 Ay,986.000,"1,006.000",5.3400
695 -13/07/2030,USD,S.F.T.,13/01/2026,57,4.562,6 Ay,"1,160.000","1,180.000",5.4600
628 -15/01/2031,USD,S.F.T.,15/01/2026,59,2.975,6 Ay,"1,012.000","1,032.000",5.6800
698 -26/06/2031,USD,S.F.T.,26/12/2025,39,2.937,6 Ay,"1,008.000","1,028.000",5.7700
662 -12/02/2032,USD,S.F.T.,12/02/2026,87,3.562,6 Ay,"1,052.000","1,072.000",6.0800
650 -29/05/2032,USD,S.F.T.,29/11/2025,12,3.625,6 Ay,"1,073.000","1,093.000",6.1400
624 -17/07/2032,USD,S.F.T.,17/01/2026,61,3.562,6 Ay,"1,055.000","1,077.000",6.1400
617 -19/01/2033,USD,S.F.T.,19/01/2026,63,4.687,6 Ay,"1,186.000","1,208.000",6.2700
623 -20/09/2033,USD,S.F.T.,20/03/2026,123,3.250,6 Ay,"1,003.000","1,025.000",6.2600
631 -14/02/2034,USD,S.F.T.,14/02/2026,89,4.000,6 Ay,"1,112.000","1,136.000",6.1900
660 -15/05/2034,USD,S.F.T.,15/05/2026,179,3.812,6 Ay,"1,059.000","1,081.000",6.3800
644 -03/01/2035,USD,S.F.T.,03/01/2026,47,3.250,6 Ay,"1,004.000","1,026.000",6.4700
612 -16/09/2035,USD,S.F.T.,16/03/2026,119,3.475,6 Ay,"1,016.000","1,038.000",6.5800
670 -17/03/2036,USD,S.F.T.,17/03/2026,120,3.437,6 Ay,"1,013.000","1,037.000",6.5300
636 -04/11/2036,USD,S.F.T.,04/05/2026,168,3.400,6 Ay,986.000,"1,008.000",6.7300
663 -05/03/2038,USD,S.F.T.,05/03/2026,108,3.625,6 Ay,"1,071.000","1,096.000",6.2900
675 -30/05/2040,USD,S.F.T.,30/11/2025,13,3.375,6 Ay,"1,000.000","1,026.000",6.8100
678 -14/01/2041,USD,S.F.T.,14/01/2026,58,3.000,6 Ay,903.000,929.000,6.9900
667 -16/04/2043,USD,S.F.T.,16/04/2026,150,2.437,6 Ay,756.000,780.000,7.1400
615 -17/02/2045,USD,S.F.T.,17/02/2026,92,3.312,6 Ay,928.000,952.000,7.2500
610 -11/05/2047,USD,S.F.T.,11/05/2026,175,2.875,6 Ay,806.000,830.000,7.3400
647 -16/02/2026,EUR,S.F.T.,16/02/2026,91,5.200,12 Ay,"1,041.000","1,051.000",0.3800
642 -08/07/2027,EUR,S.F.T.,08/07/2026,233,4.375,12 Ay,"1,034.000","1,054.000",1.9800
682 -21/05/2030,EUR,S.F.T.,21/05/2026,185,5.875,12 Ay,"1,089.000","1,109.000",3.9000
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,273,5.641,12 Ay,"1,033.000","1,053.000",4.4800
