Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,89,3.625,6 Ay,"1,015.000","1,029.000",2.8600
673 -22/03/2024,USD,S.F.T.,22/03/2024,179,2.875,6 Ay,989.000,"1,005.000",4.8100
671 -10/08/2024,USD,S.F.T.,10/02/2024,138,3.175,6 Ay,998.000,"1,014.000",5.6200
612 -14/11/2024,USD,S.F.T.,14/11/2023,50,2.800,6 Ay,998.000,"1,014.000",6.1800
622 -05/02/2025,USD,S.F.T.,05/02/2024,133,3.687,6 Ay,"1,007.000","1,023.000",6.3700
616 -13/03/2025,USD,S.F.T.,13/03/2024,170,2.125,6 Ay,953.000,970.000,6.5300
659 -14/10/2025,USD,S.F.T.,14/10/2023,19,3.187,6 Ay,999.000,"1,016.000",7.0400
691 -26/01/2026,USD,S.F.T.,26/01/2024,123,2.375,6 Ay,939.000,956.000,7.2000
669 -14/04/2026,USD,S.F.T.,14/10/2023,19,2.125,6 Ay,934.000,951.000,7.2100
680 -09/10/2026,USD,S.F.T.,09/10/2023,14,2.437,6 Ay,938.000,956.000,7.3600
637 -25/03/2027,USD,S.F.T.,25/09/2023,182,3.000,6 Ay,934.000,953.000,7.5500
611 -24/09/2027,USD,S.F.T.,24/03/2024,181,4.300,6 Ay,"1,013.000","1,032.000",7.6600
629 -15/01/2028,USD,S.F.T.,15/01/2024,112,4.937,6 Ay,"1,071.000","1,090.000",7.9000
638 -17/02/2028,USD,S.F.T.,17/02/2024,145,2.562,6 Ay,897.000,916.000,7.5500
654 -24/10/2028,USD,S.F.T.,24/10/2023,29,3.062,6 Ay,938.000,957.000,7.7900
688 -14/03/2029,USD,S.F.T.,14/03/2024,171,4.687,6 Ay,"1,029.000","1,049.000",8.3100
645 -26/04/2029,USD,S.F.T.,26/10/2023,31,3.812,6 Ay,992.000,"1,014.000",8.0200
630 -15/01/2030,USD,S.F.T.,15/01/2024,112,5.937,6 Ay,"1,186.000","1,212.000",8.0000
668 -13/03/2030,USD,S.F.T.,13/03/2024,170,2.625,6 Ay,837.000,858.000,8.1500
695 -13/07/2030,USD,S.F.T.,13/01/2024,110,4.562,6 Ay,"1,024.000","1,045.000",8.5900
628 -15/01/2031,USD,S.F.T.,15/01/2024,112,2.975,6 Ay,866.000,887.000,8.2500
698 -26/06/2031,USD,S.F.T.,26/12/2023,92,2.937,6 Ay,858.000,880.000,8.2600
617 -19/01/2033,USD,S.F.T.,19/01/2024,116,4.687,6 Ay,"1,040.000","1,062.000",8.6600
623 -20/09/2033,USD,S.F.T.,20/03/2024,177,3.250,6 Ay,863.000,886.000,8.2100
631 -14/02/2034,USD,S.F.T.,14/02/2024,142,4.000,6 Ay,968.000,998.000,8.1600
670 -17/03/2036,USD,S.F.T.,17/03/2024,174,3.437,6 Ay,856.000,878.000,8.5000
663 -05/03/2038,USD,S.F.T.,05/03/2024,162,3.625,6 Ay,884.000,906.000,8.4400
675 -30/05/2040,USD,S.F.T.,30/11/2023,66,3.375,6 Ay,828.000,854.000,8.6700
678 -14/01/2041,USD,S.F.T.,14/01/2024,111,3.000,6 Ay,760.000,783.000,8.5600
667 -16/04/2043,USD,S.F.T.,16/10/2023,21,2.437,6 Ay,665.000,687.000,8.3800
615 -17/02/2045,USD,S.F.T.,17/02/2024,145,3.312,6 Ay,785.000,807.000,8.7000
610 -11/05/2047,USD,S.F.T.,11/11/2023,47,2.875,6 Ay,710.000,732.000,8.6400
613 -31/03/2025,EUR,S.F.T.,31/03/2024,188,4.625,12 Ay,"1,010.000","1,042.000",3.2700
646 -14/06/2025,EUR,S.F.T.,14/06/2024,263,3.250,12 Ay,972.000,"1,003.000",3.6200
647 -16/02/2026,EUR,S.F.T.,16/02/2024,144,5.200,12 Ay,"1,014.000","1,039.000",4.8500
642 -08/07/2027,EUR,S.F.T.,08/07/2024,287,4.375,12 Ay,942.000,967.000,5.6500
