Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
612 -14/11/2024,USD,S.F.T.,14/11/2024,48,2.800,6 Ay,"1,018.000","1,027.000",0.7500
622 -05/02/2025,USD,S.F.T.,05/02/2025,131,3.687,6 Ay,"1,017.000","1,027.000",2.7000
616 -13/03/2025,USD,S.F.T.,13/03/2025,167,2.125,6 Ay,995.000,"1,007.000",3.0700
659 -14/10/2025,USD,S.F.T.,14/10/2024,17,3.187,6 Ay,"1,043.000","1,055.000",3.8000
691 -26/01/2026,USD,S.F.T.,26/01/2025,121,2.375,6 Ay,"1,005.000","1,017.000",4.0500
669 -14/04/2026,USD,S.F.T.,14/10/2024,17,2.125,6 Ay,"1,008.000","1,020.000",4.2000
680 -09/10/2026,USD,S.F.T.,09/10/2024,12,2.437,6 Ay,"1,016.000","1,029.000",4.5500
637 -25/03/2027,USD,S.F.T.,25/03/2025,179,3.000,6 Ay,"1,016.000","1,030.000",4.7300
611 -24/09/2027,USD,S.F.T.,24/03/2025,178,4.300,6 Ay,"1,087.000","1,102.000",4.9200
629 -15/01/2028,USD,S.F.T.,15/01/2025,110,4.937,6 Ay,"1,147.000","1,162.000",5.1300
638 -17/02/2028,USD,S.F.T.,17/02/2025,143,2.562,6 Ay,991.000,"1,007.000",5.0800
654 -24/10/2028,USD,S.F.T.,24/10/2024,27,3.062,6 Ay,"1,040.000","1,056.000",5.3000
688 -14/03/2029,USD,S.F.T.,14/03/2025,168,4.687,6 Ay,"1,132.000","1,148.000",5.6600
645 -26/04/2029,USD,S.F.T.,26/10/2024,29,3.812,6 Ay,"1,093.000","1,110.000",5.6700
630 -15/01/2030,USD,S.F.T.,15/01/2025,110,5.937,6 Ay,"1,305.000","1,329.000",5.2100
668 -13/03/2030,USD,S.F.T.,13/03/2025,167,2.625,6 Ay,961.000,979.000,5.7500
695 -13/07/2030,USD,S.F.T.,13/01/2025,108,4.562,6 Ay,"1,153.000","1,171.000",5.9700
628 -15/01/2031,USD,S.F.T.,15/01/2025,110,2.975,6 Ay,984.000,"1,002.000",6.1400
698 -26/06/2031,USD,S.F.T.,26/12/2024,90,2.937,6 Ay,980.000,998.000,6.1800
624 -17/07/2032,USD,S.F.T.,17/01/2025,112,3.562,6 Ay,"1,036.000","1,056.000",6.4300
617 -19/01/2033,USD,S.F.T.,19/01/2025,114,4.687,6 Ay,"1,180.000","1,200.000",6.5000
623 -20/09/2033,USD,S.F.T.,20/03/2025,174,3.250,6 Ay,984.000,"1,004.000",6.4600
631 -14/02/2034,USD,S.F.T.,14/02/2025,140,4.000,6 Ay,"1,107.000","1,129.000",6.2900
660 -15/05/2034,USD,S.F.T.,15/11/2024,49,3.812,6 Ay,"1,083.000","1,103.000",6.5600
670 -17/03/2036,USD,S.F.T.,17/03/2025,171,3.437,6 Ay,994.000,"1,014.000",6.7200
663 -05/03/2038,USD,S.F.T.,05/03/2025,159,3.625,6 Ay,"1,034.000","1,054.000",6.6800
675 -30/05/2040,USD,S.F.T.,30/11/2024,64,3.375,6 Ay,976.000,"1,000.000",6.9800
678 -14/01/2041,USD,S.F.T.,14/01/2025,109,3.000,6 Ay,887.000,907.000,7.1000
667 -16/04/2043,USD,S.F.T.,16/10/2024,19,2.437,6 Ay,767.000,787.000,7.1900
615 -17/02/2045,USD,S.F.T.,17/02/2025,143,3.312,6 Ay,909.000,929.000,7.3700
610 -11/05/2047,USD,S.F.T.,11/11/2024,45,2.875,6 Ay,824.000,844.000,7.3800
613 -31/03/2025,EUR,S.F.T.,31/03/2025,185,4.625,12 Ay,"1,021.000","1,037.000",1.7600
646 -14/06/2025,EUR,S.F.T.,14/06/2025,260,3.250,12 Ay,"1,003.000","1,019.000",1.8600
647 -16/02/2026,EUR,S.F.T.,16/02/2025,142,5.200,12 Ay,"1,048.000","1,066.000",2.6500
642 -08/07/2027,EUR,S.F.T.,08/07/2025,284,4.375,12 Ay,"1,020.000","1,038.000",3.2900
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,236,6.854,12 Ay,"1,066.000","1,084.000",4.7700
