Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,51,3.625,6 Ay,"1,020.000","1,034.000",1.4400
673 -22/03/2024,USD,S.F.T.,22/03/2024,141,2.875,6 Ay,997.000,"1,014.000",3.7300
671 -10/08/2024,USD,S.F.T.,10/02/2024,100,3.175,6 Ay,"1,008.000","1,025.000",4.9300
612 -14/11/2024,USD,S.F.T.,14/11/2023,12,2.800,6 Ay,"1,010.000","1,027.000",5.5100
622 -05/02/2025,USD,S.F.T.,05/02/2024,95,3.687,6 Ay,"1,018.000","1,035.000",5.9300
616 -13/03/2025,USD,S.F.T.,13/03/2024,132,2.125,6 Ay,962.000,980.000,6.2500
659 -14/10/2025,USD,S.F.T.,14/04/2024,164,3.187,6 Ay,977.000,995.000,6.8300
691 -26/01/2026,USD,S.F.T.,26/01/2024,85,2.375,6 Ay,950.000,968.000,6.9400
669 -14/04/2026,USD,S.F.T.,14/04/2024,164,2.125,6 Ay,922.000,940.000,7.0600
680 -09/10/2026,USD,S.F.T.,09/04/2024,159,2.437,6 Ay,924.000,942.000,7.2200
637 -25/03/2027,USD,S.F.T.,25/03/2024,144,3.000,6 Ay,946.000,965.000,7.3900
611 -24/09/2027,USD,S.F.T.,24/03/2024,143,4.300,6 Ay,"1,023.000","1,042.000",7.6000
629 -15/01/2028,USD,S.F.T.,15/01/2024,74,4.937,6 Ay,"1,081.000","1,100.000",7.8600
638 -17/02/2028,USD,S.F.T.,17/02/2024,107,2.562,6 Ay,904.000,923.000,7.5500
654 -24/10/2028,USD,S.F.T.,24/04/2024,174,3.062,6 Ay,914.000,933.000,7.8100
688 -14/03/2029,USD,S.F.T.,14/03/2024,133,4.687,6 Ay,"1,036.000","1,056.000",8.3500
645 -26/04/2029,USD,S.F.T.,26/04/2024,176,3.812,6 Ay,957.000,979.000,8.1400
630 -15/01/2030,USD,S.F.T.,15/01/2024,74,5.937,6 Ay,"1,190.000","1,216.000",8.1000
668 -13/03/2030,USD,S.F.T.,13/03/2024,132,2.625,6 Ay,838.000,860.000,8.2700
695 -13/07/2030,USD,S.F.T.,13/01/2024,72,4.562,6 Ay,"1,032.000","1,054.000",8.5900
628 -15/01/2031,USD,S.F.T.,15/01/2024,74,2.975,6 Ay,865.000,887.000,8.4000
698 -26/06/2031,USD,S.F.T.,26/12/2023,54,2.937,6 Ay,857.000,880.000,8.4000
617 -19/01/2033,USD,S.F.T.,19/01/2024,78,4.687,6 Ay,"1,034.000","1,057.000",8.8800
623 -20/09/2033,USD,S.F.T.,20/03/2024,139,3.250,6 Ay,852.000,875.000,8.5100
631 -14/02/2034,USD,S.F.T.,14/02/2024,104,4.000,6 Ay,955.000,985.000,8.4700
670 -17/03/2036,USD,S.F.T.,17/03/2024,136,3.437,6 Ay,846.000,868.000,8.7600
663 -05/03/2038,USD,S.F.T.,05/03/2024,124,3.625,6 Ay,870.000,892.000,8.7200
675 -30/05/2040,USD,S.F.T.,30/11/2023,28,3.375,6 Ay,804.000,834.000,9.0300
678 -14/01/2041,USD,S.F.T.,14/01/2024,73,3.000,6 Ay,739.000,763.000,8.9300
667 -16/04/2043,USD,S.F.T.,16/04/2024,166,2.437,6 Ay,624.000,647.000,8.6900
615 -17/02/2045,USD,S.F.T.,17/02/2024,107,3.312,6 Ay,768.000,791.000,8.9900
610 -11/05/2047,USD,S.F.T.,11/11/2023,9,2.875,6 Ay,695.000,718.000,8.9100
613 -31/03/2025,EUR,S.F.T.,31/03/2024,150,4.625,12 Ay,"1,009.000","1,041.000",3.6000
646 -14/06/2025,EUR,S.F.T.,14/06/2024,225,3.250,12 Ay,974.000,"1,005.000",3.7300
647 -16/02/2026,EUR,S.F.T.,16/02/2024,106,5.200,12 Ay,"1,016.000","1,041.000",4.9900
642 -08/07/2027,EUR,S.F.T.,08/07/2024,249,4.375,12 Ay,943.000,975.000,5.5700
