Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,42,2.125,6 Ay,"1,014.700","1,018.700",2.2000
680 -09/10/2026,USD,S.F.T.,09/04/2026,37,2.437,6 Ay,"1,020.000","1,029.000",3.2600
637 -25/03/2027,USD,S.F.T.,25/03/2026,22,3.000,6 Ay,"1,035.000","1,049.000",3.8000
611 -24/09/2027,USD,S.F.T.,24/03/2026,21,4.300,6 Ay,"1,091.000","1,105.000",4.1100
629 -15/01/2028,USD,S.F.T.,15/07/2026,134,4.937,6 Ay,"1,094.000","1,108.000",4.5100
638 -17/02/2028,USD,S.F.T.,17/08/2026,167,2.562,6 Ay,996.000,"1,011.000",4.6500
654 -24/10/2028,USD,S.F.T.,24/04/2026,52,3.062,6 Ay,"1,036.000","1,051.000",4.9400
688 -14/03/2029,USD,S.F.T.,14/03/2026,11,4.687,6 Ay,"1,147.000","1,162.000",5.1200
645 -26/04/2029,USD,S.F.T.,26/04/2026,54,3.812,6 Ay,"1,081.000","1,097.000",5.1800
630 -15/01/2030,USD,S.F.T.,15/07/2026,134,5.937,6 Ay,"1,229.000","1,254.000",5.0200
668 -13/03/2030,USD,S.F.T.,13/03/2026,10,2.625,6 Ay,997.000,"1,017.000",5.4700
695 -13/07/2030,USD,S.F.T.,13/07/2026,132,4.562,6 Ay,"1,129.000","1,149.000",5.5600
628 -15/01/2031,USD,S.F.T.,15/07/2026,134,2.975,6 Ay,996.000,"1,016.000",5.7600
698 -26/06/2031,USD,S.F.T.,26/06/2026,115,2.937,6 Ay,993.000,"1,013.000",5.8300
662 -12/02/2032,USD,S.F.T.,12/08/2026,162,3.562,6 Ay,"1,036.000","1,056.000",6.0700
650 -29/05/2032,USD,S.F.T.,29/05/2026,87,3.625,6 Ay,"1,054.000","1,074.000",6.1900
624 -17/07/2032,USD,S.F.T.,17/07/2026,136,3.562,6 Ay,"1,035.000","1,057.000",6.2200
617 -19/01/2033,USD,S.F.T.,19/07/2026,138,4.687,6 Ay,"1,158.000","1,180.000",6.3300
692*** -14/03/2033,USD,S.F.T.,14/03/2026,11,1.050,6 Ay,980.000,"1,002.000",6.4500
623 -20/09/2033,USD,S.F.T.,20/03/2026,17,3.250,6 Ay,"1,015.000","1,037.000",6.4100
631 -14/02/2034,USD,S.F.T.,14/08/2026,164,4.000,6 Ay,"1,088.000","1,112.000",6.3000
660 -15/05/2034,USD,S.F.T.,15/05/2026,73,3.812,6 Ay,"1,077.000","1,099.000",6.4400
644 -03/01/2035,USD,S.F.T.,03/07/2026,122,3.250,6 Ay,987.000,"1,009.000",6.5400
612 -16/09/2035,USD,S.F.T.,16/03/2026,13,3.475,6 Ay,"1,031.000","1,053.000",6.6900
670 -17/03/2036,USD,S.F.T.,17/03/2026,14,3.437,6 Ay,"1,029.000","1,053.000",6.6200
636 -04/11/2036,USD,S.F.T.,04/05/2026,62,3.400,6 Ay,"1,007.000","1,029.000",6.7400
601 -14/01/2038,USD,S.F.T.,14/07/2026,133,3.437,6 Ay,988.000,"1,010.000",6.8900
663 -05/03/2038,USD,S.F.T.,05/03/2026,2,3.625,6 Ay,"1,070.000","1,095.000",6.5700
675 -30/05/2040,USD,S.F.T.,30/05/2026,88,3.375,6 Ay,974.000,"1,002.000",6.9400
678 -14/01/2041,USD,S.F.T.,14/07/2026,133,3.000,6 Ay,885.000,911.000,7.0900
667 -16/04/2043,USD,S.F.T.,16/04/2026,44,2.437,6 Ay,764.000,788.000,7.2800
615 -17/02/2045,USD,S.F.T.,17/08/2026,167,3.312,6 Ay,902.000,926.000,7.4200
610 -11/05/2047,USD,S.F.T.,11/05/2026,69,2.875,6 Ay,816.000,840.000,7.4600
642 -08/07/2027,EUR,S.F.T.,08/07/2026,127,4.375,12 Ay,"1,051.000","1,063.000",1.7600
682 -21/05/2030,EUR,S.F.T.,21/05/2026,79,5.875,12 Ay,"1,113.000","1,128.000",3.7300
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,167,5.641,12 Ay,"1,062.000","1,077.000",4.2700
613*** -10/03/2034,EUR,S.F.T.,10/03/2027,372,5.545,12 Ay,999.000,"1,016.000",4.9500
