Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,59,3.625,6 Ay,"1,020.000","1,034.000",1.3500
673 -22/03/2024,USD,S.F.T.,22/03/2024,149,2.875,6 Ay,993.000,"1,010.000",4.5500
671 -10/08/2024,USD,S.F.T.,10/02/2024,108,3.175,6 Ay,"1,002.000","1,019.000",5.5800
612 -14/11/2024,USD,S.F.T.,14/11/2023,20,2.800,6 Ay,"1,003.000","1,020.000",6.1000
622 -05/02/2025,USD,S.F.T.,05/02/2024,103,3.687,6 Ay,"1,011.000","1,028.000",6.4000
616 -13/03/2025,USD,S.F.T.,13/03/2024,140,2.125,6 Ay,954.000,972.000,6.7800
659 -14/10/2025,USD,S.F.T.,14/04/2024,172,3.187,6 Ay,967.000,985.000,7.3100
691 -26/01/2026,USD,S.F.T.,26/01/2024,93,2.375,6 Ay,938.000,956.000,7.4800
669 -14/04/2026,USD,S.F.T.,14/04/2024,172,2.125,6 Ay,911.000,929.000,7.5100
680 -09/10/2026,USD,S.F.T.,09/04/2024,167,2.437,6 Ay,912.000,930.000,7.6500
637 -25/03/2027,USD,S.F.T.,25/03/2024,152,3.000,6 Ay,933.000,952.000,7.7900
611 -24/09/2027,USD,S.F.T.,24/03/2024,151,4.300,6 Ay,"1,008.000","1,027.000",8.0000
629 -15/01/2028,USD,S.F.T.,15/01/2024,82,4.937,6 Ay,"1,066.000","1,085.000",8.2300
638 -17/02/2028,USD,S.F.T.,17/02/2024,115,2.562,6 Ay,888.000,907.000,7.9800
654 -24/10/2028,USD,S.F.T.,24/04/2024,182,3.062,6 Ay,897.000,916.000,8.2100
688 -14/03/2029,USD,S.F.T.,14/03/2024,141,4.687,6 Ay,"1,020.000","1,040.000",8.6800
645 -26/04/2029,USD,S.F.T.,26/10/2023,1,3.812,6 Ay,979.000,"1,001.000",8.4800
630 -15/01/2030,USD,S.F.T.,15/01/2024,82,5.937,6 Ay,"1,173.000","1,199.000",8.3900
668 -13/03/2030,USD,S.F.T.,13/03/2024,140,2.625,6 Ay,822.000,844.000,8.6000
695 -13/07/2030,USD,S.F.T.,13/01/2024,80,4.562,6 Ay,"1,016.000","1,038.000",8.8800
628 -15/01/2031,USD,S.F.T.,15/01/2024,82,2.975,6 Ay,848.000,870.000,8.7200
698 -26/06/2031,USD,S.F.T.,26/12/2023,62,2.937,6 Ay,840.000,863.000,8.7100
617 -19/01/2033,USD,S.F.T.,19/01/2024,86,4.687,6 Ay,"1,016.000","1,039.000",9.1400
623 -20/09/2033,USD,S.F.T.,20/03/2024,147,3.250,6 Ay,837.000,860.000,8.7400
631 -14/02/2034,USD,S.F.T.,14/02/2024,112,4.000,6 Ay,936.000,966.000,8.7400
670 -17/03/2036,USD,S.F.T.,17/03/2024,144,3.437,6 Ay,823.000,845.000,9.0800
663 -05/03/2038,USD,S.F.T.,05/03/2024,132,3.625,6 Ay,847.000,869.000,9.0200
675 -30/05/2040,USD,S.F.T.,30/11/2023,36,3.375,6 Ay,788.000,818.000,9.2400
678 -14/01/2041,USD,S.F.T.,14/01/2024,81,3.000,6 Ay,723.000,747.000,9.1400
667 -16/04/2043,USD,S.F.T.,16/04/2024,174,2.437,6 Ay,605.000,628.000,8.9600
615 -17/02/2045,USD,S.F.T.,17/02/2024,115,3.312,6 Ay,743.100,766.100,9.3000
610 -11/05/2047,USD,S.F.T.,11/11/2023,17,2.875,6 Ay,672.000,695.000,9.2200
613 -31/03/2025,EUR,S.F.T.,31/03/2024,158,4.625,12 Ay,"1,011.000","1,043.000",3.4000
646 -14/06/2025,EUR,S.F.T.,14/06/2024,233,3.250,12 Ay,974.000,"1,005.000",3.6800
647 -16/02/2026,EUR,S.F.T.,16/02/2024,114,5.200,12 Ay,"1,015.000","1,040.000",4.9900
642 -08/07/2027,EUR,S.F.T.,08/07/2024,257,4.375,12 Ay,945.000,977.000,5.4700
