Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,71,2.125,6 Ay,"1,012.700","1,016.700",2.2400
680 -09/10/2026,USD,S.F.T.,09/04/2026,66,2.437,6 Ay,"1,017.500","1,026.500",3.2100
637 -25/03/2027,USD,S.F.T.,25/03/2026,51,3.000,6 Ay,"1,034.000","1,048.000",3.5900
611 -24/09/2027,USD,S.F.T.,24/03/2026,50,4.300,6 Ay,"1,089.000","1,103.000",4.0000
629 -15/01/2028,USD,S.F.T.,15/07/2026,163,4.937,6 Ay,"1,092.000","1,106.000",4.4000
638 -17/02/2028,USD,S.F.T.,17/02/2026,15,2.562,6 Ay,"1,020.000","1,035.000",4.4800
654 -24/10/2028,USD,S.F.T.,24/04/2026,81,3.062,6 Ay,"1,037.000","1,052.000",4.7300
688 -14/03/2029,USD,S.F.T.,14/03/2026,40,4.687,6 Ay,"1,145.000","1,160.000",5.0200
645 -26/04/2029,USD,S.F.T.,26/04/2026,83,3.812,6 Ay,"1,080.000","1,096.000",5.0500
653 -02/05/2029,USD,S.F.T.,02/05/2026,89,4.125,6 Ay,"1,038.000","1,059.000",0.0000
630 -15/01/2030,USD,S.F.T.,15/07/2026,163,5.937,6 Ay,"1,230.000","1,255.000",4.8600
668 -13/03/2030,USD,S.F.T.,13/03/2026,39,2.625,6 Ay,997.000,"1,017.000",5.3400
695 -13/07/2030,USD,S.F.T.,13/07/2026,161,4.562,6 Ay,"1,129.000","1,149.000",5.4300
628 -15/01/2031,USD,S.F.T.,15/07/2026,163,2.975,6 Ay,994.000,"1,014.000",5.6900
698 -26/06/2031,USD,S.F.T.,26/06/2026,144,2.937,6 Ay,988.000,"1,008.000",5.8300
662 -12/02/2032,USD,S.F.T.,12/02/2026,10,3.562,6 Ay,"1,070.000","1,090.000",6.0200
649 -02/05/2032,USD,S.F.T.,02/05/2026,89,4.312,6 Ay,"1,042.000","1,067.000",0.0000
650 -29/05/2032,USD,S.F.T.,29/05/2026,116,3.625,6 Ay,"1,052.000","1,072.000",6.1200
624 -17/07/2032,USD,S.F.T.,17/07/2026,165,3.562,6 Ay,"1,034.000","1,056.000",6.1400
617 -19/01/2033,USD,S.F.T.,19/07/2026,167,4.687,6 Ay,"1,155.000","1,177.000",6.2800
692*** -14/03/2033,USD,S.F.T.,14/03/2026,40,1.050,6 Ay,982.000,"1,004.000",6.3000
623 -20/09/2033,USD,S.F.T.,20/03/2026,46,3.250,6 Ay,"1,015.000","1,037.000",6.2800
631 -14/02/2034,USD,S.F.T.,14/02/2026,12,4.000,6 Ay,"1,125.000","1,149.000",6.2000
660 -15/05/2034,USD,S.F.T.,15/05/2026,102,3.812,6 Ay,"1,070.000","1,092.000",6.4200
644 -03/01/2035,USD,S.F.T.,03/07/2026,151,3.250,6 Ay,986.000,"1,008.000",6.4600
612 -16/09/2035,USD,S.F.T.,16/03/2026,42,3.475,6 Ay,"1,028.000","1,050.000",6.6000
670 -17/03/2036,USD,S.F.T.,17/03/2026,43,3.437,6 Ay,"1,025.000","1,049.000",6.5300
636 -04/11/2036,USD,S.F.T.,04/05/2026,91,3.400,6 Ay,"1,001.000","1,023.000",6.7000
601 -14/01/2038,USD,S.F.T.,14/07/2026,162,3.437,6 Ay,982.000,"1,004.000",6.8500
663 -05/03/2038,USD,S.F.T.,05/03/2026,31,3.625,6 Ay,"1,065.000","1,090.000",6.5000
675 -30/05/2040,USD,S.F.T.,30/05/2026,117,3.375,6 Ay,968.000,996.000,6.9100
678 -14/01/2041,USD,S.F.T.,14/07/2026,162,3.000,6 Ay,876.000,902.000,7.1000
667 -16/04/2043,USD,S.F.T.,16/04/2026,73,2.437,6 Ay,754.000,778.000,7.2900
615 -17/02/2045,USD,S.F.T.,17/02/2026,15,3.312,6 Ay,929.000,953.000,7.3700
610 -11/05/2047,USD,S.F.T.,11/05/2026,98,2.875,6 Ay,806.000,830.000,7.4600
647 -16/02/2026,EUR,S.F.T.,16/02/2026,14,5.200,12 Ay,"1,049.700","1,051.700",0.7400
642 -08/07/2027,EUR,S.F.T.,08/07/2026,156,4.375,12 Ay,"1,046.000","1,061.000",1.7900
682 -21/05/2030,EUR,S.F.T.,21/05/2026,108,5.875,12 Ay,"1,110.000","1,126.000",3.7000
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,196,5.641,12 Ay,"1,058.000","1,074.000",4.2700
