Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
612 -14/11/2024,USD,S.F.T.,14/11/2024,3,2.800,6 Ay,"1,027.400","1,027.900",1.1700
622 -05/02/2025,USD,S.F.T.,05/02/2025,86,3.687,6 Ay,"1,020.000","1,030.000",2.8600
616 -13/03/2025,USD,S.F.T.,13/03/2025,122,2.125,6 Ay,"1,000.000","1,012.000",2.7000
659 -14/10/2025,USD,S.F.T.,14/04/2025,154,3.187,6 Ay,"1,014.000","1,027.000",3.9000
691 -26/01/2026,USD,S.F.T.,26/01/2025,76,2.375,6 Ay,"1,006.000","1,019.000",4.3000
669 -14/04/2026,USD,S.F.T.,14/04/2025,154,2.125,6 Ay,987.000,"1,000.000",4.4800
680 -09/10/2026,USD,S.F.T.,09/04/2025,149,2.437,6 Ay,992.000,"1,005.000",4.8400
637 -25/03/2027,USD,S.F.T.,25/03/2025,134,3.000,6 Ay,"1,016.000","1,030.000",4.9900
611 -24/09/2027,USD,S.F.T.,24/03/2025,133,4.300,6 Ay,"1,086.000","1,101.000",5.1900
629 -15/01/2028,USD,S.F.T.,15/01/2025,65,4.937,6 Ay,"1,147.000","1,162.000",5.3600
638 -17/02/2028,USD,S.F.T.,17/02/2025,98,2.562,6 Ay,987.000,"1,003.000",5.4300
654 -24/10/2028,USD,S.F.T.,24/04/2025,164,3.062,6 Ay,"1,006.000","1,022.000",5.5800
688 -14/03/2029,USD,S.F.T.,14/03/2025,123,4.687,6 Ay,"1,129.000","1,145.000",5.9300
645 -26/04/2029,USD,S.F.T.,26/04/2025,166,3.812,6 Ay,"1,050.000","1,067.000",5.9700
630 -15/01/2030,USD,S.F.T.,15/01/2025,65,5.937,6 Ay,"1,301.000","1,325.000",5.4400
668 -13/03/2030,USD,S.F.T.,13/03/2025,122,2.625,6 Ay,952.000,970.000,6.1000
695 -13/07/2030,USD,S.F.T.,13/01/2025,63,4.562,6 Ay,"1,147.000","1,165.000",6.2600
628 -15/01/2031,USD,S.F.T.,15/01/2025,65,2.975,6 Ay,976.000,994.000,6.4500
698 -26/06/2031,USD,S.F.T.,26/12/2024,45,2.937,6 Ay,970.000,988.000,6.5100
624 -17/07/2032,USD,S.F.T.,17/01/2025,67,3.562,6 Ay,"1,025.000","1,045.000",6.7400
617 -19/01/2033,USD,S.F.T.,19/01/2025,69,4.687,6 Ay,"1,172.000","1,192.000",6.7500
623 -20/09/2033,USD,S.F.T.,20/03/2025,129,3.250,6 Ay,973.000,993.000,6.7400
631 -14/02/2034,USD,S.F.T.,14/02/2025,95,4.000,6 Ay,"1,094.000","1,116.000",6.5900
660 -15/05/2034,USD,S.F.T.,15/11/2024,4,3.812,6 Ay,"1,070.000","1,090.000",6.8600
644*** -03/01/2035,USD,S.F.T.,03/01/2025,53,1.625,6 Ay,960.000,980.000,6.8700
670 -17/03/2036,USD,S.F.T.,17/03/2025,126,3.437,6 Ay,983.000,"1,003.000",6.9700
663 -05/03/2038,USD,S.F.T.,05/03/2025,114,3.625,6 Ay,"1,030.000","1,050.000",6.8200
675 -30/05/2040,USD,S.F.T.,30/11/2024,19,3.375,6 Ay,960.000,984.000,7.2500
678 -14/01/2041,USD,S.F.T.,14/01/2025,64,3.000,6 Ay,871.000,891.000,7.3700
667 -16/04/2043,USD,S.F.T.,16/04/2025,156,2.437,6 Ay,726.000,746.000,7.4700
615 -17/02/2045,USD,S.F.T.,17/02/2025,98,3.312,6 Ay,893.000,913.000,7.6200
610 -11/05/2047,USD,S.F.T.,11/11/2024,181,2.875,6 Ay,777.000,797.000,7.6600
613 -31/03/2025,EUR,S.F.T.,31/03/2025,140,4.625,12 Ay,"1,025.000","1,041.000",1.3100
646 -14/06/2025,EUR,S.F.T.,14/06/2025,215,3.250,12 Ay,"1,007.000","1,023.000",1.5800
647 -16/02/2026,EUR,S.F.T.,16/02/2025,97,5.200,12 Ay,"1,055.000","1,073.000",2.3700
642 -08/07/2027,EUR,S.F.T.,08/07/2025,239,4.375,12 Ay,"1,026.000","1,044.000",3.2200
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,191,6.854,12 Ay,"1,078.000","1,096.000",4.6500
