Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
616 -13/03/2025,USD,S.F.T.,13/03/2025,1,2.125,6 Ay,"1,019.200","1,021.200",1.7600
659 -14/10/2025,USD,S.F.T.,14/04/2025,33,3.187,6 Ay,"1,032.000","1,044.000",3.2900
691 -26/01/2026,USD,S.F.T.,26/07/2025,136,2.375,6 Ay,997.000,"1,010.000",4.2800
669 -14/04/2026,USD,S.F.T.,14/04/2025,33,2.125,6 Ay,"1,001.000","1,014.000",4.5800
680 -09/10/2026,USD,S.F.T.,09/04/2025,28,2.437,6 Ay,"1,007.000","1,020.000",4.9200
637 -25/03/2027,USD,S.F.T.,25/03/2025,13,3.000,6 Ay,"1,030.000","1,045.000",5.1000
611 -24/09/2027,USD,S.F.T.,24/03/2025,12,4.300,6 Ay,"1,105.000","1,120.000",5.1900
629 -15/01/2028,USD,S.F.T.,15/07/2025,125,4.937,6 Ay,"1,113.000","1,128.000",5.5400
638 -17/02/2028,USD,S.F.T.,17/08/2025,158,2.562,6 Ay,975.000,991.000,5.5900
654 -24/10/2028,USD,S.F.T.,24/04/2025,43,3.062,6 Ay,"1,018.000","1,034.000",5.8000
688 -14/03/2029,USD,S.F.T.,14/03/2025,2,4.687,6 Ay,"1,144.000","1,160.000",6.1300
645 -26/04/2029,USD,S.F.T.,26/04/2025,45,3.812,6 Ay,"1,064.000","1,081.000",6.1700
630 -15/01/2030,USD,S.F.T.,15/07/2025,125,5.937,6 Ay,"1,250.000","1,274.000",5.7600
668 -13/03/2030,USD,S.F.T.,13/03/2025,1,2.625,6 Ay,962.000,980.000,6.3400
695 -13/07/2030,USD,S.F.T.,13/07/2025,123,4.562,6 Ay,"1,119.000","1,137.000",6.3900
628 -15/01/2031,USD,S.F.T.,15/07/2025,125,2.975,6 Ay,958.000,976.000,6.6500
698 -26/06/2031,USD,S.F.T.,26/06/2025,106,2.937,6 Ay,954.000,972.000,6.6700
662 -12/02/2032,USD,S.F.T.,12/08/2025,153,3.562,6 Ay,996.000,"1,014.000",6.9700
624 -17/07/2032,USD,S.F.T.,17/07/2025,127,3.562,6 Ay,999.000,"1,019.000",6.9800
617 -19/01/2033,USD,S.F.T.,19/07/2025,129,4.687,6 Ay,"1,137.000","1,157.000",6.9700
623 -20/09/2033,USD,S.F.T.,20/03/2025,8,3.250,6 Ay,982.000,"1,002.000",6.9600
631 -14/02/2034,USD,S.F.T.,14/08/2025,155,4.000,6 Ay,"1,067.000","1,089.000",6.7500
660 -15/05/2034,USD,S.F.T.,15/05/2025,64,3.812,6 Ay,"1,045.000","1,065.000",7.0200
644 -03/01/2035,USD,S.F.T.,03/07/2025,113,3.250,6 Ay,951.000,971.000,7.0900
670 -17/03/2036,USD,S.F.T.,17/03/2025,5,3.437,6 Ay,996.000,"1,016.000",7.1100
663 -05/03/2038,USD,S.F.T.,05/09/2025,177,3.625,6 Ay,"1,015.000","1,037.000",6.8300
675 -30/05/2040,USD,S.F.T.,30/05/2025,79,3.375,6 Ay,941.000,965.000,7.3400
678 -14/01/2041,USD,S.F.T.,14/07/2025,124,3.000,6 Ay,845.000,865.000,7.5800
667 -16/04/2043,USD,S.F.T.,16/04/2025,35,2.437,6 Ay,729.000,749.000,7.6700
615 -17/02/2045,USD,S.F.T.,17/08/2025,158,3.312,6 Ay,866.000,886.000,7.8100
610 -11/05/2047,USD,S.F.T.,11/05/2025,60,2.875,6 Ay,788.000,808.000,7.7600
613 -31/03/2025,EUR,S.F.T.,31/03/2025,19,4.625,12 Ay,"1,042.900","1,045.900",0.6400
646 -14/06/2025,EUR,S.F.T.,14/06/2025,94,3.250,12 Ay,"1,018.000","1,030.000",0.9400
647 -16/02/2026,EUR,S.F.T.,16/02/2026,341,5.200,12 Ay,"1,014.000","1,032.000",2.0700
642 -08/07/2027,EUR,S.F.T.,08/07/2025,118,4.375,12 Ay,"1,038.000","1,056.000",3.1700
682*** -21/05/2030,EUR,S.F.T.,21/05/2025,70,6.854,12 Ay,"1,088.000","1,106.000",4.7900
