Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
691 -26/01/2026,USD,S.F.T.,26/01/2026,46,2.375,6 Ay,"1,013.000","1,021.000",2.1500
669 -14/04/2026,USD,S.F.T.,14/04/2026,124,2.125,6 Ay,"1,002.500","1,012.500",2.5300
680 -09/10/2026,USD,S.F.T.,09/04/2026,119,2.437,6 Ay,"1,008.000","1,021.000",3.3100
637 -25/03/2027,USD,S.F.T.,25/03/2026,104,3.000,6 Ay,"1,027.000","1,042.000",3.6400
611 -24/09/2027,USD,S.F.T.,24/03/2026,103,4.300,6 Ay,"1,083.000","1,098.000",3.9300
629 -15/01/2028,USD,S.F.T.,15/01/2026,35,4.937,6 Ay,"1,134.000","1,149.000",4.3700
638 -17/02/2028,USD,S.F.T.,17/02/2026,68,2.562,6 Ay,"1,015.000","1,032.000",4.3600
654 -24/10/2028,USD,S.F.T.,24/04/2026,134,3.062,6 Ay,"1,032.000","1,049.000",4.5800
688 -14/03/2029,USD,S.F.T.,14/03/2026,93,4.687,6 Ay,"1,138.000","1,155.000",4.9200
645 -26/04/2029,USD,S.F.T.,26/04/2026,136,3.812,6 Ay,"1,075.000","1,093.000",4.9100
630 -15/01/2030,USD,S.F.T.,15/01/2026,35,5.937,6 Ay,"1,291.000","1,319.000",4.5500
668 -13/03/2030,USD,S.F.T.,13/03/2026,92,2.625,6 Ay,995.000,"1,015.000",5.1900
695 -13/07/2030,USD,S.F.T.,13/01/2026,33,4.562,6 Ay,"1,171.000","1,191.000",5.3100
628 -15/01/2031,USD,S.F.T.,15/01/2026,35,2.975,6 Ay,"1,022.000","1,042.000",5.5400
698 -26/06/2031,USD,S.F.T.,26/12/2025,15,2.937,6 Ay,"1,018.000","1,038.000",5.6400
662 -12/02/2032,USD,S.F.T.,12/02/2026,63,3.562,6 Ay,"1,069.000","1,089.000",5.8400
650 -29/05/2032,USD,S.F.T.,29/05/2026,169,3.625,6 Ay,"1,052.000","1,072.000",5.9400
624 -17/07/2032,USD,S.F.T.,17/01/2026,37,3.562,6 Ay,"1,071.000","1,093.000",5.9300
617 -19/01/2033,USD,S.F.T.,19/01/2026,39,4.687,6 Ay,"1,200.000","1,222.000",6.1200
623 -20/09/2033,USD,S.F.T.,20/03/2026,99,3.250,6 Ay,"1,018.000","1,040.000",6.0800
631 -14/02/2034,USD,S.F.T.,14/02/2026,65,4.000,6 Ay,"1,129.000","1,153.000",6.0100
660 -15/05/2034,USD,S.F.T.,15/05/2026,155,3.812,6 Ay,"1,075.000","1,097.000",6.2100
644 -03/01/2035,USD,S.F.T.,03/01/2026,23,3.250,6 Ay,"1,019.000","1,041.000",6.3200
612 -16/09/2035,USD,S.F.T.,16/03/2026,95,3.475,6 Ay,"1,030.000","1,052.000",6.4500
670 -17/03/2036,USD,S.F.T.,17/03/2026,96,3.437,6 Ay,"1,029.000","1,053.000",6.3800
636 -04/11/2036,USD,S.F.T.,04/05/2026,144,3.400,6 Ay,"1,001.000","1,023.000",6.5900
663 -05/03/2038,USD,S.F.T.,05/03/2026,84,3.625,6 Ay,"1,088.000","1,113.000",6.1500
675 -30/05/2040,USD,S.F.T.,30/05/2026,170,3.375,6 Ay,976.000,"1,002.000",6.7500
678 -14/01/2041,USD,S.F.T.,14/01/2026,34,3.000,6 Ay,911.000,937.000,6.9400
667 -16/04/2043,USD,S.F.T.,16/04/2026,126,2.437,6 Ay,763.000,787.000,7.1000
615 -17/02/2045,USD,S.F.T.,17/02/2026,68,3.312,6 Ay,939.000,963.000,7.1900
610 -11/05/2047,USD,S.F.T.,11/05/2026,151,2.875,6 Ay,812.000,836.000,7.3200
647 -16/02/2026,EUR,S.F.T.,16/02/2026,67,5.200,12 Ay,"1,041.000","1,051.000",0.5200
642 -08/07/2027,EUR,S.F.T.,08/07/2026,209,4.375,12 Ay,"1,039.000","1,059.000",1.7500
682 -21/05/2030,EUR,S.F.T.,21/05/2026,161,5.875,12 Ay,"1,098.000","1,118.000",3.7500
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,249,5.641,12 Ay,"1,046.000","1,066.000",4.2900
