Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,95,3.625,6 Ay,"1,014.000","1,028.000",3.0500
673 -22/03/2024,USD,S.F.T.,22/09/2023,3,2.875,6 Ay,"1,015.000","1,031.000",5.2000
671 -10/08/2024,USD,S.F.T.,10/02/2024,144,3.175,6 Ay,995.000,"1,011.000",5.8600
612 -14/11/2024,USD,S.F.T.,14/11/2023,56,2.800,6 Ay,994.000,"1,010.000",6.4600
622 -05/02/2025,USD,S.F.T.,05/02/2024,139,3.687,6 Ay,"1,002.000","1,018.000",6.6700
616 -13/03/2025,USD,S.F.T.,13/03/2024,176,2.125,6 Ay,947.000,964.000,6.8900
659 -14/10/2025,USD,S.F.T.,14/10/2023,25,3.187,6 Ay,993.000,"1,010.000",7.3000
691 -26/01/2026,USD,S.F.T.,26/01/2024,129,2.375,6 Ay,933.000,950.000,7.4300
669 -14/04/2026,USD,S.F.T.,14/10/2023,25,2.125,6 Ay,927.000,944.000,7.4800
680 -09/10/2026,USD,S.F.T.,09/10/2023,20,2.437,6 Ay,931.000,949.000,7.5800
637 -25/03/2027,USD,S.F.T.,25/09/2023,6,3.000,6 Ay,956.000,975.000,7.7800
611 -24/09/2027,USD,S.F.T.,24/09/2023,5,4.300,6 Ay,"1,047.000","1,066.000",7.8800
629 -15/01/2028,USD,S.F.T.,15/01/2024,118,4.937,6 Ay,"1,060.000","1,079.000",8.1500
638 -17/02/2028,USD,S.F.T.,17/02/2024,151,2.562,6 Ay,888.000,907.000,7.7800
654 -24/10/2028,USD,S.F.T.,24/10/2023,35,3.062,6 Ay,929.000,948.000,7.9800
688 -14/03/2029,USD,S.F.T.,14/03/2024,177,4.687,6 Ay,"1,019.000","1,039.000",8.5000
645 -26/04/2029,USD,S.F.T.,26/10/2023,37,3.812,6 Ay,982.000,"1,004.000",8.2200
630 -15/01/2030,USD,S.F.T.,15/01/2024,118,5.937,6 Ay,"1,174.000","1,200.000",8.1900
668 -13/03/2030,USD,S.F.T.,13/03/2024,176,2.625,6 Ay,827.000,848.000,8.3500
695 -13/07/2030,USD,S.F.T.,13/01/2024,116,4.562,6 Ay,"1,013.000","1,034.000",8.7800
628 -15/01/2031,USD,S.F.T.,15/01/2024,118,2.975,6 Ay,855.000,876.000,8.4500
698 -26/06/2031,USD,S.F.T.,26/12/2023,98,2.937,6 Ay,848.000,870.000,8.4300
617 -19/01/2033,USD,S.F.T.,19/01/2024,122,4.687,6 Ay,"1,027.000","1,049.000",8.8400
623 -20/09/2033,USD,S.F.T.,20/09/2023,1,3.250,6 Ay,885.000,908.000,8.3600
631 -14/02/2034,USD,S.F.T.,14/02/2024,148,4.000,6 Ay,957.000,987.000,8.3000
670 -17/03/2036,USD,S.F.T.,17/03/2024,180,3.437,6 Ay,846.000,868.000,8.6300
663 -05/03/2038,USD,S.F.T.,05/03/2024,168,3.625,6 Ay,874.000,896.000,8.5500
675 -30/05/2040,USD,S.F.T.,30/11/2023,72,3.375,6 Ay,823.000,849.000,8.7200
678 -14/01/2041,USD,S.F.T.,14/01/2024,117,3.000,6 Ay,749.000,772.000,8.6900
667 -16/04/2043,USD,S.F.T.,16/10/2023,27,2.437,6 Ay,654.000,676.000,8.5300
615 -17/02/2045,USD,S.F.T.,17/02/2024,151,3.312,6 Ay,774.000,796.000,8.8200
610 -11/05/2047,USD,S.F.T.,11/11/2023,53,2.875,6 Ay,698.000,720.000,8.7900
613 -31/03/2025,EUR,S.F.T.,31/03/2024,194,4.625,12 Ay,"1,007.000","1,039.000",3.4300
646 -14/06/2025,EUR,S.F.T.,14/06/2024,269,3.250,12 Ay,969.000,"1,000.000",3.7700
647 -16/02/2026,EUR,S.F.T.,16/02/2024,150,5.200,12 Ay,"1,012.000","1,037.000",4.9000
642 -08/07/2027,EUR,S.F.T.,08/07/2024,293,4.375,12 Ay,939.000,964.000,5.7100
