ISIN,Döviz Cinsi,Vade Tarihi,Vadeye Kalan Gün,Alış Faiz Oranı,Stopaj Durumu,Kupon Faiz Oranı,Kupon Dönemi
US900123CR91,USD,23.12.2023,122,%1.27,Stopajsız,%3.6250,6 ay
US900123CF53,USD,22.03.2024,212,%3.83,Stopajsız,%2.8750,6 ay
US900123CV04,USD,10.08.2024,353,%5.22,Stopajsız,%3.1750,6 ay
US900123CW86,USD,14.11.2024,449,%5.77,Stopajsız,%2.8000,6 ay
US900123AW05,USD,05.02.2025,532,%5.89,Stopajsız,%3.6875,6 ay
US900123CX69,USD,13.03.2025,568,%6.14,Stopajsız,%2.1250,6 ay
XS1843443356,EUR,31.03.2025,586,%4.09,Stopajsız,%4.6250,12 ay
XS1629918415,EUR,14.06.2025,661,%4.29,Stopajsız,%3.2500,12 ay
US900123CZ18,USD,14.10.2025,783,%6.86,Stopajsız,%3.1875,6 ay
US900123DB31,USD,26.01.2026,887,%6.99,Stopajsız,%2.3750,6 ay
XS1909184753,EUR,16.02.2026,908,%4.91,Stopajsız,%5.2000,12 ay
US900123CJ75,USD,14.04.2026,965,%7.12,Stopajsız,%2.1250,6 ay
US900123CK49,USD,09.10.2026,1143,%7.29,Stopajsız,%2.4375,6 ay
US900123CL22,USD,25.03.2027,1310,%7.49,Stopajsız,%3.0000,6 ay
XS2361850527,EUR,08.07.2027,1415,%5.60,Stopajsız,%4.3750,12 ay
USM88269US88,USD,24.09.2027,1493,%7.70,Stopajsız,%4.3000,6 ay
US900123DF45,USD,15.01.2028,1606,%7.97,Stopajsız,%4.9375,6 ay
US900123CP36,USD,17.02.2028,1639,%7.61,Stopajsız,%2.5625,6 ay
US900123CQ19,USD,24.10.2028,1889,%7.79,Stopajsız,%3.0625,6 ay
US900123DH01,USD,14.03.2029,2030,%8.32,Stopajsız,%4.6875,6 ay
US900123CT57,USD,26.04.2029,2073,%8.03,Stopajsız,%3.8125,6 ay
US900123AL40,USD,15.01.2030,2337,%8.06,Stopajsız,%5.9375,6 ay
US900123CY43,USD,13.03.2030,2394,%8.02,Stopajsız,%2.6250,6 ay
US900123DJ66,USD,13.07.2030,2516,%8.42,Stopajsız,%4.5625,6 ay
US900123DA57,USD,15.01.2031,2702,%8.21,Stopajsız,%2.9750,6 ay
US900123DC14,USD,26.06.2031,2864,%8.20,Stopajsız,%2.9375,6 ay
US900123DG28,USD,19.01.2033,3437,%8.65,Stopajsız,%4.6875,6 ay
US900123DD96,USD,20.09.2033,3681,%8.20,Stopajsız,%3.2500,6 ay
US900123AT75,USD,14.02.2034,3828,%8.13,Stopajsız,%4.0000,6 ay
US900123AY60,USD,17.03.2036,4590,%8.42,Stopajsız,%3.4375,6 ay
US900123BB58,USD,05.03.2038,5308,%8.37,Stopajsız,%3.6250,6 ay
US900123BG46,USD,30.05.2040,6125,%8.63,Stopajsız,%3.3750,6 ay
US900123BJ84,USD,14.01.2041,6354,%8.51,Stopajsız,%3.0000,6 ay
US900123CB40,USD,16.04.2043,7176,%8.29,Stopajsız,%2.4375,6 ay
US900123CG37,USD,17.02.2045,7849,%8.67,Stopajsız,%3.3125,6 ay
US900123CM05,USD,11.05.2047,8662,%8.56,Stopajsız,%2.8750,6 ay
