Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2807,USD,112.304861,4.14,115.884722,3.64
US900123AW05,05.02.2025,3127,USD,125.777778,4.21,129.380208,3.78
US900123CJ75,14.04.2026,3560,USD,101.824306,4.15,105.383333,3.72
US900123CK49,09.10.2026,3738,USD,106.456250,4.30,110.023958,3.89
US900123AL40,15.01.2030,4932,USD,175.750000,4.38,179.414931,4.14
US900123AT75,14.02.2034,6423,USD,139.855556,4.88,143.466667,4.64
US900123AY60,17.03.2036,7185,USD,126.253472,4.95,129.848958,4.71
US900123BB58,05.03.2038,7903,USD,132.118056,5.00,135.968750,4.77
US900123BG46,30.05.2040,8720,USD,124.593750,5.03,128.187500,4.82
US900123BJ84,14.01.2041,8949,USD,113.266667,5.05,116.850000,4.83
US900123CB40,16.04.2043,9771,USD,99.455208,4.99,103.022917,4.76
US900123CG37,17.02.2045,10444,USD,125.473611,5.10,129.065625,4.91
