Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2453,USD,105.391139,5.08,0.000000,0.00
US900123AW05,05.02.2025,2773,USD,116.745917,5.17,0.000000,0.00
US900123CJ75,14.04.2026,3206,USD,93.896250,5.26,0.000000,0.00
US900123CK49,09.10.2026,3384,USD,97.663583,5.36,0.000000,0.00
US900123CL22,25.03.2027,3551,USD,107.005000,5.42,110.463333,4.99
US900123AL40,15.01.2030,4578,USD,162.096639,5.56,166.011569,5.25
US900123AT75,14.02.2034,6069,USD,124.630333,5.94,0.000000,0.00
US900123AY60,17.03.2036,6831,USD,111.937500,5.99,115.782986,5.68
US900123BB58,05.03.2038,7549,USD,116.912667,6.01,0.000000,0.00
US900123BG46,30.05.2040,8366,USD,109.302250,6.05,113.146000,5.77
US900123BJ84,14.01.2041,8595,USD,102.572000,6.02,106.155333,5.75
US900123CB40,16.04.2043,9417,USD,87.136792,5.94,0.000000,0.00
US900123CG37,17.02.2045,10090,USD,110.003583,6.06,113.595597,5.82
US900123CM05,11.05.2047,10903,USD,96.707500,6.05,99.787361,5.83
XS1629918415,14.06.2025,2902,EUR,98.208082,3.54,99.975890,3.28
