KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,926,USD,110.783194,4.14,113.01375,3.27
US900123CF53,22.03.2024,1016,USD,104.418833,4.52,106.612722,3.72
US900123CV04,10.08.2024,1157,USD,106.663667,4.78,108.874222,4.07
US900123CW86,14.11.2024,1253,USD,102.727444,4.85,104.944667,4.18
US900123AW05,05.02.2025,1336,USD,110.275764,5.03,112.517708,4.41
US900123CX69,13.03.2025,1372,USD,98.577083,4.97,100.799306,4.33
US900123CZ18,14.10.2025,1587,USD,105.338667,5.24,107.5595,4.7
US900123DB31,26.01.2026,1691,USD,99.702056,5.26,101.904833,4.73
US900123CJ75,14.04.2026,1769,USD,96.343111,5.27,98.670333,4.73
US900123CK49,09.10.2026,1947,USD,98.404042,5.4,100.628208,4.93
US900123CL22,25.03.2027,2114,USD,102.988,5.64,105.229667,5.21
US900123CP36,17.02.2028,2443,USD,98.375681,5.71,100.612625,5.31
US900123CQ19,24.10.2028,2693,USD,102.021639,5.91,104.269694,5.55
US900123CT57,26.04.2029,2877,USD,109.817944,6.18,112.242667,5.82
US900123AL40,15.01.2030,3141,USD,142.682986,6.13,145.444931,5.81
US900123CY43,13.03.2030,3198,USD,95.98875,6.03,98.382083,5.68
US900123DA57,15.01.2031,3506,USD,100.732222,6.28,103.163333,5.95
US900123AT75,14.02.2034,4632,USD,114.740778,6.57,117.214667,6.31
US900123AY60,17.03.2036,5394,USD,102.561069,6.77,105.032458,6.51
US900123BB58,05.03.2038,6112,USD,106.553194,6.78,109.06875,6.55
US900123BG46,30.05.2040,6929,USD,98.6315,6.9,101.0915,6.67
US900123BJ84,14.01.2041,7158,USD,92.718333,6.91,95.28,6.66
US900123CB40,16.04.2043,7980,USD,80.12725,6.68,82.541417,6.44
US900123CG37,17.02.2045,8653,USD,96.845514,7.08,99.274125,6.87
US900123CM05,11.05.2047,9466,USD,85.971194,6.96,88.375083,6.75
XS1843443356,31.03.2025,1390,EUR,104.283658,3.65,106.704342,3.0
XS1629918415,14.06.2025,1465,EUR,101.692384,3.66,104.038,3.04
XS1909184753,16.02.2026,1712,EUR,106.10211,4.12,108.294096,3.63
