Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CR91,23.12.2023,94,USD,101.210083,9.24,103.017361,2.33
US900123CF53,22.03.2024,184,USD,101.448056,8.63,103.340000,4.80
US900123CV04,10.08.2024,325,USD,99.206556,8.12,101.176833,5.83
US900123CW86,14.11.2024,421,USD,99.183000,8.17,101.211111,6.31
US900123AW05,05.02.2025,504,USD,100.081875,8.02,102.125847,6.47
US900123CX69,13.03.2025,540,USD,94.657639,8.22,96.689250,6.72
US900123CZ18,14.10.2025,755,USD,99.116500,8.33,101.113917,7.27
US900123DB31,26.01.2026,859,USD,93.092500,8.38,95.153889,7.38
US900123CJ75,14.04.2026,937,USD,92.400667,8.41,94.466278,7.48
US900123CK49,09.10.2026,1115,USD,92.841208,8.41,94.911292,7.60
US900123CL22,25.03.2027,1282,USD,95.436667,8.51,97.603000,7.77
USM88269US88,24.09.2027,1465,USD,104.610444,8.48,106.773222,7.85
US900123DF45,15.01.2028,1578,USD,106.007986,8.67,108.072847,8.13
US900123CP36,17.02.2028,1611,USD,88.700792,8.37,90.772264,7.77
US900123CQ19,24.10.2028,1861,USD,92.859028,8.49,94.941056,7.96
US900123DH01,14.03.2029,2002,USD,101.941250,8.96,104.021333,8.49
US900123CT57,26.04.2029,2045,USD,98.236000,8.73,100.411361,8.23
US900123AL40,15.01.2030,2309,USD,117.530097,8.66,120.084069,8.19
US900123CY43,13.03.2030,2366,USD,82.605083,8.86,84.709250,8.38
US900123DJ66,13.07.2030,2488,USD,101.411264,9.18,103.486958,8.78
US900123DA57,15.01.2031,2674,USD,85.399306,8.91,87.540361,8.47
US900123DC14,26.06.2031,2836,USD,84.696833,8.89,86.844472,8.47
US900123DG28,19.01.2033,3409,USD,102.807542,9.17,104.911625,8.85
US900123DD96,20.09.2033,3653,USD,85.256000,8.74,87.455111,8.38
US900123AT75,14.02.2034,3800,USD,96.125000,8.69,98.524444,8.34
US900123AY60,17.03.2036,4562,USD,84.516292,8.97,86.856486,8.63
US900123BB58,05.03.2038,5280,USD,87.170083,8.88,89.587361,8.56
US900123BG46,30.05.2040,6097,USD,82.317500,9.07,84.728000,8.75
US900123BJ84,14.01.2041,6326,USD,74.706000,9.04,76.859333,8.75
US900123CB40,16.04.2043,7148,USD,65.339417,8.86,67.473500,8.55
US900123CG37,17.02.2045,7821,USD,77.150292,9.14,79.437097,8.85
US900123CM05,11.05.2047,8634,USD,69.771417,9.09,72.031361,8.79
XS1843443356,31.03.2025,558,EUR,100.609134,5.71,102.700407,4.27
XS1629918415,14.06.2025,633,EUR,96.661219,5.86,98.863978,4.49
XS1909184753,16.02.2026,880,EUR,100.932260,6.17,103.045753,5.21
XS2361850527,08.07.2027,1387,EUR,93.819563,6.53,96.083470,5.82
