Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123AW05,05.02.2025,54,USD,102.608222,7.28,103.728167,0.00
US900123CX69,13.03.2025,90,USD,100.429500,6.75,101.767722,1.47
US900123CZ18,14.10.2025,305,USD,101.648792,5.61,103.121625,3.87
US900123DB31,26.01.2026,409,USD,101.016639,5.48,102.232417,4.40
US900123CJ75,14.04.2026,487,USD,99.003528,5.58,100.363750,4.54
US900123CK49,09.10.2026,665,USD,99.486667,5.68,101.047833,4.80
US900123CL22,25.03.2027,832,USD,101.720000,5.80,103.334667,5.07
USM88269US88,24.09.2027,1015,USD,109.068222,5.76,110.711778,5.17
US900123DF45,15.01.2028,1128,USD,115.225722,5.87,116.847444,5.35
US900123CP36,17.02.2028,1161,USD,99.283389,5.95,100.728333,5.46
US900123CQ19,24.10.2028,1411,USD,101.338681,5.97,102.787736,5.57
US900123DH01,14.03.2029,1552,USD,113.534708,6.32,115.119875,5.94
US900123CT57,26.04.2029,1595,USD,105.632486,6.39,107.246208,5.99
US900123AL40,15.01.2030,1859,USD,131.011944,5.86,133.056889,5.47
US900123CY43,13.03.2030,1916,USD,95.676500,6.53,97.544833,6.11
US900123DJ66,13.07.2030,2038,USD,115.431083,6.60,117.180472,6.26
US900123DA57,15.01.2031,2224,USD,98.383111,6.77,100.245222,6.40
US900123DC14,26.06.2031,2386,USD,97.588347,6.86,99.429625,6.52
US900123DL13,17.07.2032,2773,USD,103.419583,7.03,105.152750,6.75
US900123DG28,19.01.2033,2959,USD,117.990000,7.04,119.761167,6.79
US900123DD96,20.09.2033,3203,USD,98.028611,7.03,99.887833,6.76
US900123AT75,14.02.2034,3350,USD,110.092444,6.89,111.925333,6.64
US900123DK30,15.05.2034,3440,USD,103.840056,7.14,105.603778,6.90
US900123DN78,03.01.2035,3673,USD,96.634889,7.15,98.271111,6.93
US900123AY60,17.03.2036,4112,USD,99.124361,7.20,100.904750,6.98
US900123BB58,05.03.2038,4830,USD,103.554611,7.06,105.497167,6.85
US900123BG46,30.05.2040,5647,USD,92.541750,7.61,94.574750,7.38
US900123BJ84,14.01.2041,5876,USD,86.761333,7.72,88.651000,7.50
US900123CB40,16.04.2043,6698,USD,72.632875,7.78,74.294042,7.58
US900123CG37,17.02.2045,7371,USD,88.800722,7.96,90.470333,7.79
US900123CM05,11.05.2047,8184,USD,77.361111,7.98,79.021000,7.80
XS1843443356,31.03.2025,108,EUR,103.169507,4.77,0.000000,0.00
XS1629918415,14.06.2025,183,EUR,101.125548,4.19,102.813164,0.87
XS1909184753,16.02.2026,430,EUR,106.092503,3.59,107.912333,2.06
XS2361850527,08.07.2027,937,EUR,103.743836,3.60,105.655781,2.84
XS2790222116,21.05.2030,1985,EUR,110.090603,4.63,111.834986,4.29
