Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CW86,14.11.2024,85,USD,100.717889,8.97,102.548000,1.09
US900123AW05,05.02.2025,168,USD,100.551778,6.85,102.063750,3.54
US900123CX69,13.03.2025,204,USD,100.619278,6.54,102.398889,3.31
US900123CZ18,14.10.2025,419,USD,102.540958,6.10,104.484375,4.37
US900123DB31,26.01.2026,523,USD,98.997861,5.73,100.583250,4.58
US900123CJ75,14.04.2026,601,USD,99.244306,5.70,101.046917,4.55
US900123CK49,09.10.2026,779,USD,99.869500,5.84,101.607583,4.98
US900123CL22,25.03.2027,946,USD,102.495333,5.97,104.316667,5.22
USM88269US88,24.09.2027,1129,USD,110.628667,6.04,112.469444,5.42
US900123DF45,15.01.2028,1242,USD,112.400500,6.10,114.195361,5.57
US900123CP36,17.02.2028,1275,USD,97.185944,6.05,98.827417,5.53
US900123CQ19,24.10.2028,1525,USD,101.773625,6.18,103.451653,5.73
US900123DH01,14.03.2029,1666,USD,115.296542,6.50,117.019625,6.09
US900123CT57,26.04.2029,1709,USD,106.788764,6.53,108.615125,6.09
US900123AL40,15.01.2030,1973,USD,128.304500,5.93,130.411472,5.54
US900123CY43,13.03.2030,2030,USD,96.626167,6.48,98.518333,6.07
US900123DJ66,13.07.2030,2152,USD,112.587194,6.70,114.406889,6.36
US900123DA57,15.01.2031,2338,USD,95.940000,6.86,97.774056,6.50
US900123DC14,26.06.2031,2500,USD,95.484569,6.88,97.396208,6.52
US900123DL13,17.07.2032,2887,USD,101.627917,6.96,103.241500,6.71
US900123DG28,19.01.2033,3073,USD,115.786333,6.99,117.565417,6.74
US900123DD96,20.09.2033,3317,USD,99.394389,7.00,101.331500,6.71
US900123AT75,14.02.2034,3464,USD,108.448556,6.80,110.293000,6.55
US900123DK30,15.05.2034,3554,USD,106.187333,7.03,107.898694,6.79
US900123AY60,17.03.2036,4226,USD,100.585972,7.18,102.308167,6.96
US900123BB58,05.03.2038,4944,USD,104.305056,7.14,106.273333,6.92
US900123BG46,30.05.2040,5761,USD,95.192750,7.44,97.304250,7.20
US900123BJ84,14.01.2041,5990,USD,86.474667,7.51,88.330000,7.30
US900123CB40,16.04.2043,6812,USD,74.870708,7.58,76.503792,7.39
US900123CG37,17.02.2045,7485,USD,88.775611,7.73,90.449417,7.56
US900123CM05,11.05.2047,8298,USD,80.691222,7.71,82.354167,7.53
XS1843443356,31.03.2025,222,EUR,101.568986,4.95,103.234329,2.23
XS1629918415,14.06.2025,297,EUR,99.484479,4.65,101.242288,2.45
XS1909184753,16.02.2026,544,EUR,103.567831,4.53,105.342246,3.32
XS2361850527,08.07.2027,1051,EUR,100.656397,4.32,102.563370,3.62
XS2790222116,21.05.2030,2099,EUR,104.093671,5.52,105.825863,5.18
