Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2025,USD,86.949472,9.44,89.206417,8.87
US900123AW05,05.02.2025,2345,USD,89.887583,9.65,92.528556,9.07
US900123CJ75,14.04.2026,2778,USD,76.051583,8.96,78.300194,8.49
US900123CK49,09.10.2026,2956,USD,78.089083,9.11,80.341167,8.65
US900123CL22,25.03.2027,3123,USD,83.228667,9.35,85.487,8.92
US900123CP36,17.02.2028,3452,USD,74.58225,9.26,76.835722,8.84
US900123CQ19,24.10.2028,3702,USD,81.668819,9.3,83.927847,8.91
US900123AL40,15.01.2030,4150,USD,118.632306,9.41,121.798278,9.01
US900123AT75,14.02.2034,5641,USD,89.467667,9.36,92.112111,9.02
US900123AY60,17.03.2036,6403,USD,81.902333,9.37,84.540528,9.02
US900123BB58,05.03.2038,7121,USD,81.601,9.31,84.241278,8.98
US900123BG46,30.05.2040,7938,USD,78.40425,9.27,81.04175,8.93
US900123BJ84,14.01.2041,8167,USD,71.619,9.07,74.252333,8.73
US900123CB40,16.04.2043,8989,USD,66.852292,8.21,69.354375,7.89
US900123CG37,17.02.2045,9662,USD,74.92525,9.2,77.437056,8.89
US900123CM05,11.05.2047,10475,USD,70.062833,8.8,72.569778,8.49
XS1629918415,14.06.2025,2474,EUR,80.498041,7.12,83.115849,6.56
