Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3340,USD,114.528472,4.10,118.842361,3.58
US900123AW05,05.02.2025,3660,USD,129.564583,4.17,133.646528,3.75
US900123AL40,15.01.2030,5465,USD,181.461806,4.42,185.593750,4.17
US900123AT75,14.02.2034,6956,USD,145.166667,4.68,149.005556,4.45
US900123AY60,17.03.2036,7718,USD,131.020833,4.73,134.847222,4.49
US900123BB58,05.03.2038,8436,USD,137.400000,4.77,141.230556,4.55
US900123BG46,30.05.2040,9253,USD,129.606250,4.79,133.431250,4.58
US900123BJ84,14.01.2041,9482,USD,118.750000,4.75,122.566667,4.53
US900123CB40,16.04.2043,10304,USD,104.894792,4.65,108.448958,4.44
US900123CG37,17.02.2045,10977,USD,131.481250,4.82,135.304861,4.63
