Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2621,USD,100.536806,5.97,103.959722,5.4
US900123AW05,05.02.2025,2941,USD,111.19375,6.12,114.755208,5.6
US900123CJ75,14.04.2026,3374,USD,88.597917,6.03,92.133333,5.51
US900123CK49,09.10.2026,3552,USD,92.452083,6.1,95.992708,5.6
US900123AL40,15.01.2030,4746,USD,147.940972,6.39,151.539931,6.09
US900123AT75,14.02.2034,6237,USD,116.025,6.74,119.591667,6.43
US900123AY60,17.03.2036,6999,USD,103.291667,6.78,106.848958,6.46
US900123BB58,05.03.2038,7717,USD,107.783333,6.79,111.34375,6.49
US900123BG46,30.05.2040,8534,USD,100.63125,6.77,104.1875,6.48
US900123BJ84,14.01.2041,8763,USD,91.55,6.72,95.1,6.41
US900123CB40,16.04.2043,9585,USD,80.732292,6.51,84.272917,6.19
US900123CG37,17.02.2045,10258,USD,100.885417,6.77,104.440625,6.5
