Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1843,USD,99.669972,7.53,101.350528,7.14
US900123CF53,22.03.2024,1933,USD,93.282944,7.59,95.446833,7.08
US900123AW05,05.02.2025,2253,USD,100.313819,7.82,102.620764,7.36
US900123CJ75,14.04.2026,2686,USD,81.974889,7.60,84.122111,7.19
US900123CK49,09.10.2026,2864,USD,84.364875,7.70,86.519042,7.30
US900123CL22,25.03.2027,3031,USD,90.379333,7.79,92.546000,7.42
US900123CP36,17.02.2028,3360,USD,84.796736,7.70,86.953681,7.35
US900123CQ19,24.10.2028,3610,USD,88.715583,7.89,90.883639,7.56
US900123AL40,15.01.2030,4058,USD,132.491042,8.04,135.472986,7.71
US900123AT75,14.02.2034,5549,USD,99.841889,8.31,102.405778,8.02
US900123AY60,17.03.2036,6311,USD,88.364681,8.32,90.916069,8.03
US900123BB58,05.03.2038,7029,USD,91.683639,8.31,94.239194,8.04
US900123BG46,30.05.2040,7846,USD,85.430500,8.22,87.980500,7.94
US900123BJ84,14.01.2041,8075,USD,80.766667,8.12,83.183333,7.85
US900123CB40,16.04.2043,8897,USD,69.863083,7.69,72.267250,7.42
US900123CG37,17.02.2045,9570,USD,85.375903,8.17,87.799514,7.93
US900123CM05,11.05.2047,10383,USD,75.488306,7.98,77.902194,7.72
XS1629918415,14.06.2025,2382,EUR,89.479219,5.50,91.739836,5.06
XS1909184753,16.02.2026,2629,EUR,97.366425,5.71,98.648411,5.50
