Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2416,USD,108.049167,4.71,111.629028,4.12
US900123AW05,05.02.2025,2736,USD,116.039431,4.81,119.641861,4.31
US900123CJ75,14.04.2026,3169,USD,96.787444,4.90,100.346472,4.40
US900123CK49,09.10.2026,3347,USD,100.563542,5.02,104.131250,4.55
US900123CL22,25.03.2027,3514,USD,110.297333,5.07,113.730667,4.65
US900123AL40,15.01.2030,4541,USD,160.185653,5.30,164.100583,4.99
US900123AT75,14.02.2034,6032,USD,128.660111,5.67,128.521222,5.37
US900123AY60,17.03.2036,6794,USD,115.763903,5.73,119.609389,5.43
US900123BB58,05.03.2038,7512,USD,120.884528,5.76,124.735222,5.49
US900123BG46,30.05.2040,8329,USD,113.229500,5.80,117.073250,5.53
US900123BJ84,14.01.2041,8558,USD,103.279333,5.78,106.962667,5.51
US900123CB40,16.04.2043,9380,USD,90.671750,5.68,94.339458,5.40
US900123CG37,17.02.2045,10053,USD,113.887681,5.84,117.579694,5.60
US900123CM05,11.05.2047,10866,USD,100.279528,5.83,103.959389,5.58
XS1629918415,14.06.2025,2865,EUR,99.854534,3.34,101.640151,3.09
