Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CX69,13.03.2025,21,USD,101.029472,16.97,102.746694,0.00
US900123CZ18,14.10.2025,236,USD,102.359250,6.15,104.153083,3.41
US900123DB31,26.01.2026,340,USD,99.275667,5.91,100.810444,4.25
US900123CJ75,14.04.2026,418,USD,99.455500,6.10,101.172722,4.58
US900123CK49,09.10.2026,596,USD,99.940958,6.06,101.661125,4.98
US900123CL22,25.03.2027,763,USD,102.167667,6.12,103.948333,5.25
USM88269US88,24.09.2027,946,USD,109.512778,6.05,111.343333,5.34
US900123DF45,15.01.2028,1059,USD,110.559069,6.21,112.321792,5.60
US900123CP36,17.02.2028,1092,USD,96.983708,6.26,98.583653,5.68
US900123CQ19,24.10.2028,1342,USD,101.227611,6.35,102.894667,5.86
US900123DH01,14.03.2029,1483,USD,113.588500,6.66,115.389667,6.20
US900123CT57,26.04.2029,1526,USD,105.415583,6.78,107.322306,6.29
US900123AL40,15.01.2030,1790,USD,124.438514,6.28,126.400458,5.89
US900123CY43,13.03.2030,1847,USD,95.172583,6.94,97.065917,6.49
US900123DJ66,13.07.2030,1969,USD,111.093847,6.84,112.824236,6.49
US900123DA57,15.01.2031,2155,USD,95.100472,7.10,96.915583,6.73
US900123DC14,26.06.2031,2317,USD,94.637250,7.11,96.452528,6.76
US900123DP27,12.02.2032,2548,USD,99.117333,7.32,100.618500,7.05
US900123DL13,17.07.2032,2704,USD,99.384125,7.35,101.072292,7.06
US900123DG28,19.01.2033,2890,USD,113.153292,7.29,114.928458,7.03
US900123DD96,20.09.2033,3134,USD,97.506333,7.33,99.484556,7.02
US900123AT75,14.02.2034,3281,USD,105.970333,7.11,107.782222,6.86
US900123DK30,15.05.2034,3371,USD,103.661153,7.37,105.364875,7.13
US900123DN78,03.01.2035,3604,USD,94.343611,7.44,95.975833,7.21
US900123AY60,17.03.2036,4043,USD,98.752875,7.43,100.466264,7.21
US900123BB58,05.03.2038,4761,USD,104.205917,7.14,106.140472,6.93
US900123BG46,30.05.2040,5578,USD,92.895000,7.72,95.222000,7.45
US900123BJ84,14.01.2041,5807,USD,83.268000,7.94,85.158667,7.71
US900123CB40,16.04.2043,6629,USD,71.933167,8.01,73.563333,7.80
US900123CG37,17.02.2045,7302,USD,85.410208,8.12,87.052819,7.94
US900123CM05,11.05.2047,8115,USD,77.443250,8.11,79.040139,7.93
XS1843443356,31.03.2025,39,EUR,103.610822,9.16,105.133507,0.00
XS1629918415,14.06.2025,114,EUR,101.557932,5.33,103.111548,0.45
XS1909184753,16.02.2026,361,EUR,101.498986,3.69,103.272973,1.91
XS2361850527,08.07.2027,868,EUR,103.987890,3.80,105.808836,3.02
XS2790222116,21.05.2030,1916,EUR,109.532219,4.95,111.314603,4.59
