Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2964,USD,106.188194,5.14,109.736111,4.63
US900123AW05,05.02.2025,3284,USD,115.331944,5.23,119.143403,4.75
US900123CJ75,14.04.2026,3717,USD,93.607639,5.24,97.143056,4.78
US900123AL40,15.01.2030,5089,USD,163.041667,5.44,166.890625,5.17
US900123AT75,14.02.2034,6580,USD,126.638889,5.93,130.455556,5.64
US900123AY60,17.03.2036,7342,USD,112.711806,6.01,116.519097,5.71
US900123BB58,05.03.2038,8060,USD,118.101389,6.01,121.911806,5.74
US900123BG46,30.05.2040,8877,USD,110.543750,6.02,114.350000,5.75
US900123BJ84,14.01.2041,9106,USD,100.416667,6.00,104.216667,5.72
US900123CB40,16.04.2043,9928,USD,87.280208,5.94,91.070833,5.63
US900123CG37,17.02.2045,10601,USD,113.165278,5.90,116.970486,5.66
