Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2510,USD,105.046722,5.00,108.594639,4.42
US900123AW05,05.02.2025,2830,USD,116.301208,5.10,119.862667,4.60
US900123CJ75,14.04.2026,3263,USD,93.723333,5.18,97.258750,4.67
US900123CK49,09.10.2026,3441,USD,97.544708,5.26,101.085333,4.79
US900123CL22,25.03.2027,3608,USD,106.676000,5.35,110.076000,4.93
US900123AL40,15.01.2030,4635,USD,161.385431,5.50,165.484389,5.18
US900123AT75,14.02.2034,6126,USD,124.562667,5.86,128.379333,5.55
US900123AY60,17.03.2036,6888,USD,111.998958,5.90,115.806250,5.60
US900123BB58,05.03.2038,7606,USD,117.047750,5.92,120.858167,5.64
US900123BG46,30.05.2040,8423,USD,112.899500,5.95,116.705750,5.68
US900123BJ84,14.01.2041,8652,USD,102.893000,5.92,106.443000,5.65
US900123CB40,16.04.2043,9474,USD,88.236917,5.78,91.777542,5.50
US900123CG37,17.02.2045,10147,USD,110.788625,5.94,114.343833,5.70
US900123CM05,11.05.2047,10960,USD,0.000000,0.00,0.000000,0.00
