KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,1194,USD,104.869389,6.14,107.529667,5.28
US900123CF53,22.03.2024,1284,USD,101.493194,6.16,103.502139,5.53
US900123CV04,10.08.2024,1425,USD,100.512361,6.38,103.093639,5.64
US900123CW86,14.11.2024,1521,USD,99.138222,6.36,101.656333,5.67
US900123AW05,05.02.2025,1604,USD,104.515444,6.39,107.172417,5.72
US900123CX69,13.03.2025,1640,USD,92.561611,6.18,95.166222,5.49
US900123CJ75,14.04.2026,2037,USD,92.354639,6.28,94.99325,5.69
US900123CK49,09.10.2026,2215,USD,94.4455,6.42,97.082583,5.88
US900123CL22,25.03.2027,2382,USD,99.371333,6.66,102.111667,6.14
US900123CP36,17.02.2028,2711,USD,91.926611,6.59,94.575083,6.12
US900123CQ19,24.10.2028,2961,USD,98.673958,6.73,101.344986,6.3
US900123CT57,26.04.2029,3145,USD,106.560097,7.06,109.229458,6.66
US900123AL40,15.01.2030,3409,USD,134.038167,7.11,137.350139,6.72
US900123CY43,13.03.2030,3466,USD,89.802167,6.72,92.802333,6.28
US900123AT75,14.02.2034,4900,USD,106.642889,7.3,109.590333,6.97
US900123AY60,17.03.2036,5662,USD,98.485306,7.41,101.5135,7.08
US900123BB58,05.03.2038,6380,USD,98.429389,7.43,101.396667,7.13
US900123BG46,30.05.2040,7197,USD,94.17775,7.51,97.34225,7.2
US900123BJ84,14.01.2041,7426,USD,85.986667,7.45,89.22,7.11
US900123CB40,16.04.2043,8248,USD,78.079708,7.0,81.276792,6.67
US900123CG37,17.02.2045,8921,USD,90.090278,7.57,93.200083,7.27
US900123CM05,11.05.2047,9734,USD,82.182556,7.47,85.1945,7.17
XS1843443356,31.03.2025,1658,EUR,99.215767,5.36,102.35511,4.57
XS1629918415,14.06.2025,1733,EUR,91.992082,5.41,95.16989,4.61
XS1909184753,16.02.2026,1980,EUR,101.185022,5.59,104.316437,4.92
