KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,353,USD,100.748528,6.68,103.238806,4.07
US900123CF53,22.03.2024,443,USD,99.892167,7.26,102.450111,5.06
US900123CV04,10.08.2024,584,USD,100.763,7.54,103.332278,5.84
US900123CW86,14.11.2024,680,USD,97.286778,7.64,99.895889,6.12
US900123AW05,05.02.2025,763,USD,102.677431,7.57,105.310403,6.22
US900123CX69,13.03.2025,799,USD,94.172417,7.85,96.796028,6.51
US900123CZ18,14.10.2025,1014,USD,96.824667,8.25,99.460083,7.17
US900123DB31,26.01.2026,1118,USD,92.428722,8.39,95.047111,7.37
US900123CJ75,14.04.2026,1196,USD,89.317444,8.38,91.957056,7.4
US900123CK49,09.10.2026,1374,USD,90.048042,8.37,92.677125,7.51
US900123CL22,25.03.2027,1541,USD,92.694,8.57,95.345333,7.79
USM88269US88,24.09.2027,1724,USD,102.639889,8.53,105.293667,7.86
US900123DF45,15.01.2028,1837,USD,104.691097,9.02,107.052958,8.45
US900123CP36,17.02.2028,1870,USD,88.145347,8.5,90.781819,7.82
US900123CQ19,24.10.2028,2120,USD,90.147972,8.58,92.794,7.97
US900123CT57,26.04.2029,2304,USD,95.573278,8.85,98.283639,8.28
US900123AL40,15.01.2030,2568,USD,124.143653,8.33,127.647625,7.75
US900123CY43,13.03.2030,2625,USD,82.24975,8.96,84.896917,8.4
US900123DA57,15.01.2031,2933,USD,85.690194,8.98,88.35725,8.47
US900123DD96,20.09.2033,3912,USD,85.202778,8.95,87.935889,8.51
US900123AT75,14.02.2034,4059,USD,103.327111,7.97,106.849556,7.5
US900123AY60,17.03.2036,4821,USD,85.723403,9.01,88.757597,8.58
US900123BB58,05.03.2038,5539,USD,92.004528,8.48,95.452806,8.05
US900123BG46,30.05.2040,6356,USD,79.9265,9.15,82.958,8.75
US900123BJ84,14.01.2041,6585,USD,75.412333,9.13,78.483667,8.7
US900123CB40,16.04.2043,7407,USD,66.24425,8.5,68.761333,8.16
US900123CG37,17.02.2045,8080,USD,79.130181,9.1,81.858986,8.76
US900123CM05,11.05.2047,8893,USD,69.232528,8.96,71.882472,8.61
XS1843443356,31.03.2025,817,EUR,101.687274,5.52,104.596616,4.12
XS1629918415,14.06.2025,892,EUR,96.774438,5.5,99.676247,4.19
XS1909184753,16.02.2026,1139,EUR,102.212397,6.05,104.98489,5.06
XS2361850527,08.07.2027,1646,EUR,94.562534,6.36,97.586507,5.55
