Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3138,USD,106.347917,5.17,110.177778,4.64
US900123AW05,05.02.2025,3458,USD,115.536806,5.3,119.139236,4.87
US900123CJ75,14.04.2026,3891,USD,92.475694,5.37,96.284722,4.89
US900123AL40,15.01.2030,5263,USD,163.121528,5.56,167.286458,5.27
US900123AT75,14.02.2034,6754,USD,123.111111,5.93,126.972222,5.65
US900123AY60,17.03.2036,7516,USD,112.402778,6.06,117.248264,5.69
US900123BB58,05.03.2038,8234,USD,118.802778,5.99,122.403472,5.74
US900123BG46,30.05.2040,9051,USD,110.73125,6.03,114.575,5.76
US900123BJ84,14.01.2041,9280,USD,100.333333,6.02,104.166667,5.74
US900123CB40,16.04.2043,10102,USD,86.915625,5.97,90.733333,5.67
US900123CG37,17.02.2045,10775,USD,109.286806,5.96,113.128819,5.71
