Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3235,USD,109.580556,4.54,113.176389,4.08
US900123AW05,05.02.2025,3555,USD,122.528125,4.72,126.151042,4.32
US900123CJ75,14.04.2026,3988,USD,95.854167,4.78,99.425,4.37
US900123AL40,15.01.2030,5360,USD,174.425347,5.02,178.373264,4.77
US900123AT75,14.02.2034,6851,USD,133.0,5.36,136.883333,5.1
US900123AY60,17.03.2036,7613,USD,119.088542,5.42,122.953125,5.16
US900123BB58,05.03.2038,8331,USD,124.889583,5.44,128.760417,5.2
US900123BG46,30.05.2040,9148,USD,120.575,5.46,124.4375,5.22
US900123BJ84,14.01.2041,9377,USD,109.5,5.45,113.35,5.2
US900123CB40,16.04.2043,10199,USD,92.879167,5.4,96.710417,5.13
US900123CG37,17.02.2045,10872,USD,118.851042,5.45,122.711458,5.23
