Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123AW05,05.02.2025,79,USD,102.202069,6.80,103.330042,1.66
US900123CX69,13.03.2025,115,USD,99.986361,6.70,101.385972,2.32
US900123CZ18,14.10.2025,330,USD,101.238083,5.64,102.703500,4.01
US900123DB31,26.01.2026,434,USD,100.658778,5.46,101.936167,4.37
US900123CJ75,14.04.2026,512,USD,98.542389,5.64,99.999000,4.56
US900123CK49,09.10.2026,690,USD,98.975125,5.75,100.613208,4.84
US900123CL22,25.03.2027,857,USD,101.127333,5.88,102.868667,5.10
USM88269US88,24.09.2027,1040,USD,108.080000,5.97,109.832778,5.34
US900123DF45,15.01.2028,1153,USD,114.178958,6.06,115.868819,5.52
US900123CP36,17.02.2028,1186,USD,98.338486,6.14,99.900958,5.61
US900123CQ19,24.10.2028,1436,USD,100.130333,6.20,101.694361,5.76
US900123DH01,14.03.2029,1577,USD,112.236667,6.52,113.944750,6.11
US900123CT57,26.04.2029,1620,USD,104.327972,6.61,106.160333,6.15
US900123AL40,15.01.2030,1884,USD,129.358292,6.08,131.636264,5.64
US900123CY43,13.03.2030,1941,USD,94.359917,6.74,96.372083,6.28
US900123DJ66,13.07.2030,2063,USD,113.860403,6.81,115.726097,6.44
US900123DA57,15.01.2031,2249,USD,96.807917,7.01,98.861972,6.59
US900123DC14,26.06.2031,2411,USD,96.106361,7.07,98.145000,6.67
US900123DL13,17.07.2032,2798,USD,101.791792,7.23,103.639375,6.92
US900123DG28,19.01.2033,2984,USD,116.254958,7.21,118.167042,6.93
US900123DD96,20.09.2033,3228,USD,96.314222,7.23,98.387333,6.91
US900123AT75,14.02.2034,3375,USD,108.488889,7.04,110.462333,6.77
US900123DK30,15.05.2034,3465,USD,102.213542,7.31,104.132903,7.04
US900123DN78,03.01.2035,3698,USD,94.786500,7.35,96.698611,7.08
US900123AY60,17.03.2036,4137,USD,97.245931,7.39,99.154125,7.14
US900123BB58,05.03.2038,4855,USD,101.730139,7.22,103.847417,6.98
US900123BG46,30.05.2040,5672,USD,94.733000,7.69,97.019500,7.43
US900123BJ84,14.01.2041,5901,USD,85.388667,7.84,87.469000,7.59
US900123CB40,16.04.2043,6723,USD,71.300333,7.90,73.102417,7.67
US900123CG37,17.02.2045,7396,USD,87.873653,8.01,89.762458,7.81
US900123CM05,11.05.2047,8209,USD,76.467806,8.04,78.264750,7.83
XS1843443356,31.03.2025,133,EUR,102.824726,4.80,104.470068,0.41
XS1629918415,14.06.2025,208,EUR,100.834945,4.20,102.508753,1.28
XS1909184753,16.02.2026,455,EUR,105.656311,3.73,107.512727,2.25
XS2361850527,08.07.2027,962,EUR,102.705178,3.92,104.731151,3.12
XS2790222116,21.05.2030,2010,EUR,107.967205,5.00,109.837397,4.62
