KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,521,USD,97.30375,9.73,100.516028,7.29
US900123CF53,22.03.2024,611,USD,93.503722,11.38,96.561667,9.28
US900123CV04,10.08.2024,752,USD,93.670222,11.47,96.7375,9.71
US900123CW86,14.11.2024,848,USD,89.171667,11.57,92.213778,9.97
US900123AW05,05.02.2025,931,USD,94.627208,11.44,97.756181,9.95
US900123CX69,13.03.2025,967,USD,85.955306,11.19,89.072917,9.7
US900123CZ18,14.10.2025,1182,USD,88.623,11.31,91.796417,10.05
US900123DB31,26.01.2026,1286,USD,83.407833,11.42,86.516222,10.22
US900123CJ75,14.04.2026,1364,USD,80.231333,11.26,83.333944,10.1
US900123CK49,09.10.2026,1542,USD,80.155708,11.33,83.172792,10.31
US900123CL22,25.03.2027,1709,USD,82.771667,11.38,85.809,10.45
USM88269US88,24.09.2027,1892,USD,92.482111,11.27,95.494889,10.46
US900123CP36,17.02.2028,2038,USD,76.694125,11.43,79.820597,10.54
US900123CQ19,24.10.2028,2288,USD,78.163194,11.43,81.293222,10.62
US900123CT57,26.04.2029,2472,USD,84.138167,11.43,87.290528,10.69
US900123AL40,15.01.2030,2736,USD,102.631931,11.38,106.535903,10.63
US900123CY43,13.03.2030,2793,USD,71.281083,11.33,74.47425,10.56
US900123DA57,15.01.2031,3101,USD,70.851639,11.42,74.026694,10.71
US900123DD96,20.09.2033,4080,USD,71.430667,11.44,74.668778,10.8
US900123AT75,14.02.2034,4227,USD,84.665667,10.9,88.224111,10.29
US900123AY60,17.03.2036,4989,USD,72.560958,11.18,75.981153,10.57
US900123BB58,05.03.2038,5707,USD,75.50675,10.91,78.865028,10.37
US900123BG46,30.05.2040,6524,USD,68.0735,10.99,71.365,10.44
US900123BJ84,14.01.2041,6753,USD,61.607,10.87,64.850333,10.31
US900123CB40,16.04.2043,7575,USD,58.114917,9.76,61.236,9.25
US900123CG37,17.02.2045,8248,USD,67.402625,10.86,70.899431,10.29
US900123CM05,11.05.2047,9061,USD,59.890083,10.42,63.016028,9.9
XS1843443356,31.03.2025,985,EUR,92.097507,8.62,95.336849,7.18
XS1629918415,14.06.2025,1060,EUR,86.999548,8.63,90.404356,7.17
XS1909184753,16.02.2026,1307,EUR,91.453973,8.81,94.768466,7.65
XS2361850527,08.07.2027,1814,EUR,81.471836,9.23,84.725808,8.3
