Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1874,USD,99.637667,7.39,101.152944,7.04
US900123CF53,22.03.2024,1964,USD,93.831806,7.31,95.963750,6.82
US900123AW05,05.02.2025,2284,USD,100.937750,7.56,103.203722,7.11
US900123CJ75,14.04.2026,2717,USD,82.416917,7.41,84.540528,7.00
US900123CK49,09.10.2026,2895,USD,84.835083,7.51,86.962167,7.12
US900123CL22,25.03.2027,3062,USD,90.593667,7.65,92.727000,7.29
US900123CP36,17.02.2028,3391,USD,85.337417,7.51,87.465889,7.17
US900123CQ19,24.10.2028,3641,USD,89.614153,7.66,91.748181,7.34
US900123AL40,15.01.2030,4089,USD,133.525472,7.82,136.441444,7.50
US900123AT75,14.02.2034,5580,USD,101.424000,8.04,103.943444,7.76
US900123AY60,17.03.2036,6342,USD,89.974667,8.05,92.487861,7.77
US900123BB58,05.03.2038,7060,USD,93.433333,8.05,95.948611,7.78
US900123BG46,30.05.2040,7877,USD,89.682250,8.05,92.194750,7.79
US900123BJ84,14.01.2041,8106,USD,81.187000,8.00,83.570333,7.74
US900123CB40,16.04.2043,8928,USD,70.970292,7.51,73.347375,7.24
US900123CG37,17.02.2045,9601,USD,86.060417,8.04,88.447222,7.80
US900123CM05,11.05.2047,10414,USD,78.611167,7.89,80.993111,7.64
XS1629918415,14.06.2025,2413,EUR,91.330192,5.06,93.698000,4.61
