Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1702,USD,102.148417,7.64,103.828972,7.23
US900123CF53,22.03.2024,1792,USD,92.595056,7.73,94.758944,7.19
US900123AW05,05.02.2025,2112,USD,99.562375,7.83,101.744319,7.37
US900123CJ75,14.04.2026,2545,USD,81.913667,7.68,84.060889,7.24
US900123CK49,09.10.2026,2723,USD,84.185208,7.75,86.339375,7.34
US900123CL22,25.03.2027,2890,USD,89.241667,7.95,91.408333,7.56
US900123CP36,17.02.2028,3219,USD,84.105292,7.81,86.262236,7.44
US900123CQ19,24.10.2028,3469,USD,87.951028,7.96,90.119083,7.62
US900123CT57,26.04.2029,3653,USD,97.673056,8.27,99.257778,8.05
US900123AL40,15.01.2030,3917,USD,127.516597,8.40,130.498542,8.06
US900123AT75,14.02.2034,5408,USD,97.673000,8.47,100.861889,8.09
US900123AY60,17.03.2036,6170,USD,86.977792,8.42,89.654181,8.10
US900123BB58,05.03.2038,6888,USD,90.255083,8.40,92.935639,8.10
US900123BG46,30.05.2040,7705,USD,87.610500,8.28,90.285500,7.99
US900123BJ84,14.01.2041,7934,USD,80.532000,8.08,83.073667,7.80
US900123CB40,16.04.2043,8756,USD,71.474417,7.46,73.878583,7.19
US900123CG37,17.02.2045,9429,USD,84.790792,8.16,87.339403,7.90
US900123CM05,11.05.2047,10242,USD,78.796417,7.87,81.210306,7.62
XS1843443356,31.03.2025,2166,EUR,95.909552,5.52,97.560098,5.19
XS1629918415,14.06.2025,2241,EUR,91.206699,5.53,93.649315,5.03
XS1909184753,16.02.2026,2488,EUR,97.801014,5.77,99.458000,5.48
