Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2793,USD,108.278472,4.76,111.842361,4.24
US900123AW05,05.02.2025,3113,USD,121.064583,4.84,124.646528,4.39
US900123CJ75,14.04.2026,3546,USD,96.739583,4.84,100.536806,4.34
US900123CK49,09.10.2026,3724,USD,102.395833,4.81,105.95,4.38
US900123AL40,15.01.2030,4918,USD,168.211806,4.93,172.09375,4.66
US900123AT75,14.02.2034,6409,USD,132.416667,5.44,136.255556,5.16
US900123AY60,17.03.2036,7171,USD,118.770833,5.51,122.597222,5.23
US900123BB58,05.03.2038,7889,USD,124.4,5.53,128.230556,5.28
US900123BG46,30.05.2040,8706,USD,116.60625,5.57,120.43125,5.32
US900123BJ84,14.01.2041,8935,USD,105.5,5.6,109.316667,5.34
US900123CB40,16.04.2043,9757,USD,92.894792,5.48,96.448958,5.22
US900123CG37,17.02.2045,10430,USD,117.23125,5.62,121.054861,5.38
