Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1185,USD,103.262639,6.75,106.073194,5.82
US900123CF53,22.03.2024,1275,USD,97.129944,6.69,99.198833,6.04
US900123CV04,10.08.2024,1416,USD,98.633111,6.99,101.388667,6.19
US900123CW86,14.11.2024,1512,USD,97.058222,7.0,99.815444,6.23
US900123AW05,05.02.2025,1595,USD,102.287819,7.02,105.084764,6.31
US900123CX69,13.03.2025,1631,USD,90.333861,6.83,93.151083,6.07
US900123CJ75,14.04.2026,2028,USD,90.144889,6.82,93.012111,6.17
US900123CK49,09.10.2026,2206,USD,91.783375,7.03,94.442542,6.47
US900123CL22,25.03.2027,2373,USD,96.763333,7.22,96.605,6.66
US900123CP36,17.02.2028,2702,USD,89.191736,7.12,92.013681,6.61
US900123CQ19,24.10.2028,2952,USD,95.584083,7.28,98.417139,6.81
US900123CT57,26.04.2029,3136,USD,103.761722,7.52,106.751444,7.07
US900123AL40,15.01.2030,3400,USD,130.790042,7.55,134.266986,7.13
US900123CY43,13.03.2030,3457,USD,86.633417,7.25,89.72175,6.77
US900123AT75,14.02.2034,4891,USD,102.661889,7.78,105.925778,7.41
US900123AY60,17.03.2036,5653,USD,91.102681,7.9,94.319069,7.53
US900123BB58,05.03.2038,6371,USD,94.218639,7.91,97.414194,7.57
US900123BG46,30.05.2040,7188,USD,90.2935,7.95,93.6335,7.6
US900123BJ84,14.01.2041,7417,USD,81.953667,7.92,85.670333,7.5
US900123CB40,16.04.2043,8239,USD,74.233583,7.45,77.89775,7.04
US900123CG37,17.02.2045,8912,USD,85.524903,8.05,88.933514,7.71
US900123CM05,11.05.2047,9725,USD,78.450306,7.89,82.094194,7.5
XS1843443356,31.03.2025,1649,EUR,97.956808,5.72,101.197493,4.9
XS1629918415,14.06.2025,1724,EUR,90.640219,5.79,93.915836,4.96
XS1909184753,16.02.2026,1971,EUR,99.624891,5.97,102.631721,5.32
