Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123AW05,05.02.2025,4059,USD,109.138542,6.57,117.031944,5.66
US900123AL40,15.01.2030,5864,USD,153.560764,6.87,161.041667,6.32
US900123AT75,14.02.2034,7355,USD,112.183333,7.13,120.338889,6.46
US900123AY60,17.03.2036,8117,USD,98.390625,7.19,106.524306,6.49
US900123BB58,05.03.2038,8835,USD,103.235417,7.16,111.376389,6.51
US900123BG46,30.05.2040,9652,USD,95.9875,7.13,104.11875,6.47
US900123BJ84,14.01.2041,9881,USD,89.2,7.13,97.316667,6.43
US900123CB40,16.04.2043,10703,USD,74.697917,6.99,81.792708,6.33
