Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,614,USD,103.152972,6.71,104.93525,5.61
US900123CF53,22.03.2024,704,USD,98.017278,7.1,99.924222,6.04
US900123CV04,10.08.2024,845,USD,98.922444,7.43,100.829722,6.54
US900123CW86,14.11.2024,941,USD,97.888556,7.56,99.802667,6.73
US900123AW05,05.02.2025,1024,USD,100.753486,7.67,102.612458,6.94
US900123CX69,13.03.2025,1060,USD,92.101194,7.49,94.031806,6.72
US900123CZ18,14.10.2025,1275,USD,95.619833,7.86,97.54725,7.22
US900123DB31,26.01.2026,1379,USD,91.182944,7.83,93.082333,7.22
US900123CJ75,14.04.2026,1457,USD,88.119222,7.79,90.072833,7.18
US900123CK49,09.10.2026,1635,USD,88.182875,8.11,90.099958,7.57
US900123CL22,25.03.2027,1802,USD,91.252333,8.29,93.165667,7.8
USM88269US88,24.09.2027,1985,USD,101.299333,8.43,103.066111,8.03
US900123CP36,17.02.2028,2131,USD,86.235403,8.34,88.173875,7.89
US900123CQ19,24.10.2028,2381,USD,91.362417,8.48,93.418444,8.04
US900123CT57,26.04.2029,2565,USD,98.412056,8.63,100.482417,8.23
US900123AL40,15.01.2030,2829,USD,121.227708,8.61,124.028681,8.17
US900123CY43,13.03.2030,2886,USD,81.928417,8.53,84.022583,8.12
US900123DA57,15.01.2031,3194,USD,85.101083,8.67,87.152139,8.3
US900123DD96,20.09.2033,4173,USD,84.513556,8.74,86.504667,8.44
US900123AT75,14.02.2034,4320,USD,98.126222,8.44,100.500667,8.13
US900123AY60,17.03.2036,5082,USD,86.223014,8.67,88.608208,8.35
US900123BB58,05.03.2038,5800,USD,88.881972,8.65,91.52225,8.32
US900123BG46,30.05.2040,6617,USD,85.3215,8.65,87.772,8.35
US900123BJ84,14.01.2041,6846,USD,76.697667,8.71,79.051,8.41
US900123CG37,17.02.2045,8341,USD,80.487569,8.72,82.767375,8.46
US900123CM05,11.05.2047,9154,USD,74.011639,8.52,76.255583,8.25
XS1843443356,31.03.2025,1078,EUR,98.958082,5.1,101.028425,4.34
XS1629918415,14.06.2025,1153,EUR,97.514466,5.08,99.837274,4.26
XS1909184753,16.02.2026,1400,EUR,98.977041,5.76,101.290534,5.08
XS2361850527,08.07.2027,1907,EUR,95.28811,6.24,97.387082,5.74
