Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CF53,22.03.2024,78,USD,100.804167,9.48,102.749056,0.60
US900123CV04,10.08.2024,219,USD,102.075000,7.14,104.097556,3.77
US900123CW86,14.11.2024,315,USD,99.750778,6.84,101.744000,4.50
US900123AW05,05.02.2025,398,USD,103.606431,6.83,105.560375,5.02
US900123CX69,13.03.2025,434,USD,98.087417,7.11,100.360639,5.13
US900123CZ18,14.10.2025,649,USD,100.352667,7.01,102.446500,5.79
US900123DB31,26.01.2026,753,USD,97.857722,6.99,99.802500,5.98
US900123CJ75,14.04.2026,831,USD,95.255444,6.99,97.485667,5.92
US900123CK49,09.10.2026,1009,USD,95.957042,6.97,98.215208,6.07
US900123CL22,25.03.2027,1176,USD,98.474000,7.11,100.703667,6.35
USM88269US88,24.09.2027,1359,USD,107.006889,7.16,109.173444,6.54
US900123DF45,15.01.2028,1472,USD,113.375764,7.33,115.479486,6.78
US900123CP36,17.02.2028,1505,USD,94.915347,7.12,97.001292,6.53
US900123CQ19,24.10.2028,1755,USD,97.173972,7.12,99.164028,6.64
US900123DH01,14.03.2029,1896,USD,110.789583,7.50,112.901750,7.05
US900123CT57,26.04.2029,1939,USD,102.276278,7.43,104.614000,6.92
US900123AL40,15.01.2030,2203,USD,128.393653,7.15,130.782597,6.74
US900123CY43,13.03.2030,2260,USD,90.548750,7.52,92.970083,7.01
US900123DJ66,13.07.2030,2382,USD,111.695375,7.67,113.802764,7.29
US900123DA57,15.01.2031,2568,USD,93.850194,7.62,96.146306,7.18
US900123DC14,26.06.2031,2730,USD,90.428556,7.60,92.774833,7.18
US900123DG28,19.01.2033,3303,USD,113.814875,7.88,115.916042,7.59
US900123DD96,20.09.2033,3547,USD,94.231778,7.63,96.546000,7.28
US900123AT75,14.02.2034,3694,USD,105.834111,7.61,108.020000,7.32
US900123AY60,17.03.2036,4456,USD,94.450403,7.85,96.502792,7.59
US900123BB58,05.03.2038,5174,USD,97.157528,7.87,99.351083,7.61
US900123BG46,30.05.2040,5991,USD,88.670500,8.08,91.098500,7.80
US900123BJ84,14.01.2041,6220,USD,83.756333,8.08,86.203000,7.79
US900123CB40,16.04.2043,7042,USD,70.007250,8.08,72.082417,7.81
US900123CG37,17.02.2045,7715,USD,86.369181,8.25,88.446792,8.03
US900123CM05,11.05.2047,8528,USD,75.065528,8.26,77.188417,8.01
XS1843443356,31.03.2025,452,EUR,103.156615,4.92,105.039161,3.38
XS1629918415,14.06.2025,527,EUR,99.760475,4.74,101.721995,3.33
XS1909184753,16.02.2026,774,EUR,105.114397,4.93,107.023384,4.00
XS2361850527,08.07.2027,1281,EUR,100.131639,5.01,102.185454,4.37
