Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3453,USD,106.755556,4.88,110.351389,4.44
US900123AW05,05.02.2025,3773,USD,120.290625,5.0,124.413542,4.55
US900123AL40,15.01.2030,5578,USD,171.237847,5.28,175.935764,4.98
US900123AT75,14.02.2034,7069,USD,129.7,5.57,134.333333,5.26
US900123AY60,17.03.2036,7831,USD,115.401042,5.66,120.015625,5.34
US900123BB58,05.03.2038,8549,USD,121.664583,5.62,126.285417,5.33
US900123BG46,30.05.2040,9366,USD,116.4,5.7,121.0125,5.41
US900123BJ84,14.01.2041,9595,USD,105.9,5.67,110.5,5.36
US900123CB40,16.04.2043,10417,USD,92.829167,5.54,97.410417,5.21
US900123CG37,17.02.2045,11090,USD,113.938542,5.72,118.548958,5.44
