Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1272,USD,103.865833,6.04,105.758111,5.46
US900123CF53,22.03.2024,1362,USD,101.072306,5.89,102.41425,5.5
US900123CV04,10.08.2024,1503,USD,103.336806,6.1,105.255083,5.58
US900123CW86,14.11.2024,1599,USD,98.687,6.13,100.594111,5.63
US900123AW05,05.02.2025,1682,USD,107.712,6.17,109.872972,5.65
US900123CX69,13.03.2025,1718,USD,94.417556,6.02,96.574167,5.48
US900123CJ75,14.04.2026,2115,USD,91.685417,6.16,93.852028,5.7
US900123CK49,09.10.2026,2293,USD,93.480333,6.36,95.603417,5.94
US900123CL22,25.03.2027,2460,USD,98.843667,6.5,100.99,6.11
US900123CP36,17.02.2028,2789,USD,93.576167,6.52,95.714639,6.15
US900123CQ19,24.10.2028,3039,USD,97.818903,6.64,99.982931,6.3
US900123CT57,26.04.2029,3223,USD,106.417375,6.85,108.506736,6.55
US900123AL40,15.01.2030,3487,USD,140.509722,6.81,143.605694,6.46
US900123CY43,13.03.2030,3544,USD,91.420333,6.75,93.7925,6.4
US900123AT75,14.02.2034,4978,USD,110.422,7.14,112.872444,6.88
US900123AY60,17.03.2036,5740,USD,98.814917,7.21,101.169111,6.96
US900123BB58,05.03.2038,6458,USD,102.285833,7.25,104.779111,7.01
US900123BG46,30.05.2040,7275,USD,94.99375,7.28,97.40125,7.05
US900123BJ84,14.01.2041,7504,USD,89.195,7.28,91.555333,7.04
US900123CB40,16.04.2043,8326,USD,77.975542,6.89,80.328625,6.65
US900123CG37,17.02.2045,8999,USD,93.674167,7.4,96.023972,7.19
US900123CM05,11.05.2047,9812,USD,82.553667,7.31,84.921611,7.08
XS1843443356,31.03.2025,1736,EUR,99.947411,4.91,102.712753,4.25
XS1629918415,14.06.2025,1811,EUR,93.081562,4.88,95.81337,4.24
XS1909184753,16.02.2026,2058,EUR,101.693825,5.24,104.47924,4.67
