Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123AW05,05.02.2025,4636,USD,118.314931,5.60,120.855903,5.35
US900123AL40,15.01.2030,6441,USD,171.887153,5.74,174.703125,5.57
US900123AT75,14.02.2034,7932,USD,125.811111,6.04,128.605556,5.85
US900123AY60,17.03.2036,8694,USD,110.605903,6.13,113.394097,5.93
US900123BB58,05.03.2038,9412,USD,115.921528,6.14,118.711806,5.95
US900123BG46,30.05.2040,10229,USD,111.087500,6.17,0.000000,0.00
US900123BJ84,14.01.2041,10458,USD,100.233333,6.15,103.016667,5.94
