KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,920,USD,110.847028,4.14,113.037306,3.28
US900123CF53,22.03.2024,1010,USD,104.582667,4.49,106.744611,3.68
US900123CV04,10.08.2024,1151,USD,106.7705,4.78,108.940778,4.06
US900123CW86,14.11.2024,1247,USD,102.693778,4.89,104.879889,4.21
US900123AW05,05.02.2025,1330,USD,110.466681,5.0,112.667653,4.38
US900123CX69,13.03.2025,1366,USD,98.538917,5.01,100.732528,4.36
US900123CZ18,14.10.2025,1581,USD,105.229917,5.29,107.410333,4.75
US900123DB31,26.01.2026,1685,USD,99.772222,5.26,101.968611,4.73
US900123CJ75,14.04.2026,1763,USD,96.271944,5.31,98.615556,4.75
US900123CK49,09.10.2026,1941,USD,98.186292,5.47,100.378375,4.99
US900123CL22,25.03.2027,2108,USD,102.791,5.7,104.999333,5.26
US900123CP36,17.02.2028,2437,USD,98.259097,5.75,100.362569,5.37
US900123CQ19,24.10.2028,2687,USD,101.941722,5.94,104.15575,5.58
US900123CT57,26.04.2029,2871,USD,109.743028,6.21,112.120389,5.85
US900123AL40,15.01.2030,3135,USD,142.585903,6.16,145.281875,5.84
US900123CY43,13.03.2030,3192,USD,95.66725,6.1,98.031417,5.74
US900123DA57,15.01.2031,3500,USD,100.699389,6.3,103.092444,5.97
US900123AT75,14.02.2034,4626,USD,114.455111,6.61,116.884556,6.36
US900123AY60,17.03.2036,5388,USD,102.139653,6.83,104.567847,6.57
US900123BB58,05.03.2038,6106,USD,106.047028,6.84,108.467306,6.61
US900123BG46,30.05.2040,6923,USD,97.728,7.0,100.1505,6.77
US900123BJ84,14.01.2041,7152,USD,92.325333,6.96,94.853667,6.71
US900123CB40,16.04.2043,7974,USD,79.6655,6.74,82.052583,6.5
US900123CG37,17.02.2045,8647,USD,96.410931,7.13,98.797736,6.92
US900123CM05,11.05.2047,9460,USD,85.308028,7.04,87.679972,6.82
XS1843443356,31.03.2025,1384,EUR,104.384685,3.64,106.780027,2.98
XS1629918415,14.06.2025,1459,EUR,98.505808,3.66,100.793616,3.05
XS1909184753,16.02.2026,1706,EUR,106.113589,4.14,108.552082,3.58
