Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2541,USD,103.239583,5.23,106.819444,4.64
US900123AW05,05.02.2025,2861,USD,114.170139,5.34,117.642569,4.85
US900123CJ75,14.04.2026,3294,USD,94.052361,5.38,97.411389,4.90
US900123CK49,09.10.2026,3472,USD,98.285417,5.44,99.290625,4.98
US900123CL22,25.03.2027,3639,USD,104.858333,5.52,108.061667,5.12
US900123AL40,15.01.2030,4666,USD,157.214861,5.78,160.879792,5.49
US900123AT75,14.02.2034,6157,USD,121.052778,6.10,124.663889,5.80
US900123AY60,17.03.2036,6919,USD,108.381944,6.15,111.927431,5.86
US900123BB58,05.03.2038,7637,USD,112.769444,6.21,116.245139,5.94
US900123BG46,30.05.2040,8454,USD,109.331250,6.18,112.925000,5.91
US900123BJ84,14.01.2041,8683,USD,99.883333,6.12,103.466667,5.84
US900123CB40,16.04.2043,9505,USD,87.815625,5.98,91.383333,5.69
US900123CG37,17.02.2045,10178,USD,107.295139,6.14,110.887153,5.90
