Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123AW05,05.02.2025,4125,USD,117.806944,5.43,123.868403,4.80
US900123AL40,15.01.2030,5930,USD,165.166667,5.89,171.265625,5.49
US900123AT75,14.02.2034,7421,USD,123.488889,6.10,129.555556,5.66
US900123AY60,17.03.2036,8183,USD,109.649306,6.13,115.706597,5.68
US900123BB58,05.03.2038,8901,USD,114.926389,6.13,120.986806,5.72
US900123BG46,30.05.2040,9718,USD,110.143750,6.17,116.200000,5.75
US900123BJ84,14.01.2041,9947,USD,100.616667,6.07,106.666667,5.64
US900123CB40,16.04.2043,10769,USD,85.067708,5.96,91.108333,5.49
