Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1846,USD,99.866556,7.47,101.506833,7.08
US900123CF53,22.03.2024,1936,USD,93.259028,7.58,95.390972,7.07
US900123AW05,05.02.2025,2256,USD,100.514361,7.77,102.780333,7.31
US900123CJ75,14.04.2026,2689,USD,82.151472,7.56,84.275083,7.14
US900123CK49,09.10.2026,2867,USD,84.55225,7.65,86.679333,7.26
US900123CL22,25.03.2027,3034,USD,90.297333,7.79,92.430667,7.43
US900123CP36,17.02.2028,3363,USD,84.993028,7.66,87.1215,7.3
US900123CQ19,24.10.2028,3613,USD,88.924542,7.85,91.058569,7.52
US900123AL40,15.01.2030,4061,USD,133.056083,7.96,135.972056,7.64
US900123AT75,14.02.2034,5552,USD,100.355222,8.24,102.874667,7.95
US900123AY60,17.03.2036,6314,USD,88.861389,8.25,91.374583,7.96
US900123BB58,05.03.2038,7032,USD,92.214222,8.25,94.7295,7.97
US900123BG46,30.05.2040,7849,USD,85.96625,8.15,88.47875,7.88
US900123BJ84,14.01.2041,8078,USD,81.273667,8.05,83.657,7.78
US900123CB40,16.04.2043,8900,USD,70.530458,7.61,72.907542,7.34
US900123CG37,17.02.2045,9573,USD,85.645694,8.14,88.0325,7.89
US900123CM05,11.05.2047,10386,USD,75.745389,7.94,78.127333,7.69
XS1629918415,14.06.2025,2385,EUR,90.038507,5.38,92.281315,4.94
XS1909184753,16.02.2026,2632,EUR,98.272685,5.55,99.526178,5.34
