KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,703,USD,102.985611,5.88,104.935889,4.84
US900123CF53,22.03.2024,793,USD,100.36275,6.5,102.357694,5.52
US900123CV04,10.08.2024,934,USD,101.696583,6.83,103.687861,5.98
US900123CW86,14.11.2024,1030,USD,97.854111,6.85,99.854222,6.06
US900123AW05,05.02.2025,1113,USD,103.868722,7.18,105.935694,6.44
US900123CX69,13.03.2025,1149,USD,93.7455,7.03,95.820111,6.27
US900123CZ18,14.10.2025,1364,USD,98.527292,7.35,100.594708,6.72
US900123DB31,26.01.2026,1468,USD,92.996639,7.47,95.051028,6.85
US900123CJ75,14.04.2026,1546,USD,89.622528,7.46,91.712139,6.85
US900123CK49,09.10.2026,1724,USD,90.517167,7.65,92.58525,7.1
US900123CL22,25.03.2027,1891,USD,94.369,7.79,96.438333,7.29
US900123CP36,17.02.2028,2220,USD,89.714889,7.73,91.789361,7.27
US900123CQ19,24.10.2028,2470,USD,92.221181,7.91,94.295208,7.5
US900123CT57,26.04.2029,2654,USD,99.353986,8.07,101.452347,7.69
US900123AL40,15.01.2030,2918,USD,122.767944,7.99,125.445917,7.6
US900123CY43,13.03.2030,2975,USD,85.7955,7.96,87.882667,7.58
US900123DA57,15.01.2031,3283,USD,86.520111,8.1,88.582167,7.75
US900123DD96,20.09.2033,4262,USD,89.481611,8.21,91.560722,7.91
US900123AT75,14.02.2034,4409,USD,102.559444,8.12,104.843889,7.82
US900123AY60,17.03.2036,5171,USD,91.565861,8.17,93.869056,7.88
US900123BB58,05.03.2038,5889,USD,94.827611,8.13,97.382889,7.84
US900123BG46,30.05.2040,6706,USD,86.93175,8.24,89.23625,7.98
US900123BJ84,14.01.2041,6935,USD,79.867333,8.1,82.160667,7.83
US900123CB40,16.04.2043,7757,USD,73.321375,7.53,75.425458,7.29
US900123CG37,17.02.2045,8430,USD,86.592222,8.2,88.719028,7.97
US900123CM05,11.05.2047,9243,USD,77.420111,7.93,79.540056,7.7
XS1843443356,31.03.2025,1167,EUR,102.592342,5.01,104.711685,4.29
XS1629918415,14.06.2025,1242,EUR,96.778,4.93,98.898808,4.23
XS1909184753,16.02.2026,1489,EUR,103.888096,5.45,105.988589,4.88
XS2361850527,08.07.2027,1996,EUR,95.830329,5.79,98.015301,5.31
