KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,1317,USD,102.286722,7.43,105.592417,6.42
US900123CF53,22.03.2024,1407,USD,95.383528,7.4,98.763389,6.39
US900123CV04,10.08.2024,1548,USD,97.838694,7.42,101.211889,6.5
US900123CW86,14.11.2024,1644,USD,93.187556,7.41,96.521333,6.53
US900123AW05,05.02.2025,1727,USD,101.365611,7.55,104.848042,6.69
US900123CX69,13.03.2025,1763,USD,88.058111,7.51,91.587139,6.6
US900123CJ75,14.04.2026,2160,USD,84.237972,7.69,87.738,6.9
US900123CK49,09.10.2026,2338,USD,86.1025,7.77,89.570208,7.04
US900123CL22,25.03.2027,2505,USD,90.825333,7.92,94.313667,7.24
US900123CP36,17.02.2028,2834,USD,85.612778,7.85,89.148958,7.2
US900123CQ19,24.10.2028,3084,USD,88.839292,8.03,92.614361,7.39
US900123CT57,26.04.2029,3268,USD,96.060431,8.32,99.746333,7.74
US900123AL40,15.01.2030,3532,USD,127.651333,8.26,132.306264,7.68
US900123CY43,13.03.2030,3589,USD,81.698667,8.2,85.376583,7.59
US900123AT75,14.02.2034,5023,USD,100.295222,8.21,104.155333,7.76
US900123AY60,17.03.2036,5785,USD,88.655639,8.3,92.355125,7.86
US900123BB58,05.03.2038,6503,USD,91.707722,8.3,95.453417,7.89
US900123BG46,30.05.2040,7320,USD,87.22575,8.4,91.0505,7.97
US900123BJ84,14.01.2041,7549,USD,79.333667,8.31,83.02,7.89
US900123CB40,16.04.2043,8371,USD,69.927708,7.73,73.563417,7.31
US900123CG37,17.02.2045,9044,USD,83.259444,8.4,87.171458,7.98
US900123CM05,11.05.2047,9857,USD,73.716889,8.19,77.21575,7.8
XS1843443356,31.03.2025,1781,EUR,95.350205,5.88,99.040562,5.0
XS1629918415,14.06.2025,1856,EUR,91.921607,5.83,95.741005,4.91
XS1909184753,16.02.2026,2103,EUR,96.504481,6.2,100.275519,5.41
