Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2891,USD,108.979167,4.46,112.809028,3.93
US900123AW05,05.02.2025,3211,USD,121.827431,4.55,125.429861,4.12
US900123CJ75,14.04.2026,3644,USD,98.094444,4.5,101.653472,4.07
US900123CK49,09.10.2026,3822,USD,102.499107,4.59,106.057143,4.18
US900123AL40,15.01.2030,5016,USD,174.699653,4.73,178.614583,4.47
US900123AT75,14.02.2034,6507,USD,133.011111,5.25,136.872222,4.99
US900123AY60,17.03.2036,7269,USD,119.668403,5.32,123.513889,5.05
US900123BB58,05.03.2038,7987,USD,124.946528,5.37,128.797222,5.12
US900123BG46,30.05.2040,8804,USD,121.1625,5.37,125.00625,5.13
US900123BJ84,14.01.2041,9033,USD,110.133333,5.37,113.966667,5.12
US900123CB40,16.04.2043,9855,USD,93.83125,5.31,97.648958,5.05
US900123CG37,17.02.2045,10528,USD,121.196181,5.27,125.038194,5.05
