Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CV04,10.08.2024,60,USD,101.531306,9.88,102.962583,1.30
US900123CW86,14.11.2024,156,USD,99.488000,7.83,101.003111,4.24
US900123AW05,05.02.2025,239,USD,102.407250,7.63,104.031222,5.11
US900123CX69,13.03.2025,275,USD,98.725889,7.44,100.342500,5.23
US900123CZ18,14.10.2025,490,USD,100.249375,6.97,101.905792,5.69
US900123DB31,26.01.2026,594,USD,98.377250,7.00,100.143639,5.84
US900123CJ75,14.04.2026,672,USD,96.262917,6.83,98.040528,5.79
US900123CK49,09.10.2026,850,USD,96.718583,6.82,98.505667,5.98
US900123CL22,25.03.2027,1017,USD,99.076667,6.87,100.880000,6.16
USM88269US88,24.09.2027,1200,USD,106.661444,6.93,108.433222,6.35
US900123DF45,15.01.2028,1313,USD,112.972861,7.01,114.758722,6.48
US900123CP36,17.02.2028,1346,USD,95.621917,7.00,97.418389,6.43
US900123CQ19,24.10.2028,1596,USD,97.360653,7.05,99.078681,6.59
US900123DH01,14.03.2029,1737,USD,110.244625,7.35,112.064708,6.93
US900123CT57,26.04.2029,1780,USD,102.191125,7.32,104.027486,6.88
US900123AL40,15.01.2030,2044,USD,128.720972,6.68,131.226944,6.22
US900123CY43,13.03.2030,2101,USD,91.548333,7.35,93.459500,6.93
US900123DJ66,13.07.2030,2223,USD,111.733389,7.47,113.572083,7.12
US900123DA57,15.01.2031,2409,USD,94.348056,7.52,96.179111,7.16
US900123DC14,26.06.2031,2571,USD,93.822708,7.52,95.657347,7.17
US900123DG28,19.01.2033,3144,USD,114.451917,7.64,116.288000,7.38
US900123DD96,20.09.2033,3388,USD,94.375500,7.58,96.267611,7.28
US900123AT75,14.02.2034,3535,USD,106.326000,7.45,108.350444,7.17
US900123DK30,15.05.2034,3625,USD,100.302694,7.66,102.055056,7.41
US900123AY60,17.03.2036,4297,USD,95.140167,7.72,97.138361,7.45
US900123BB58,05.03.2038,5015,USD,98.378333,7.67,100.542611,7.42
US900123BG46,30.05.2040,5832,USD,89.651250,7.93,91.786750,7.68
US900123BJ84,14.01.2041,6061,USD,84.303000,7.99,86.256333,7.75
US900123CB40,16.04.2043,6883,USD,70.445792,8.02,72.314875,7.78
US900123CG37,17.02.2045,7556,USD,87.311917,8.11,89.244722,7.90
US900123CM05,11.05.2047,8369,USD,76.198167,8.10,78.070111,7.88
XS1843443356,31.03.2025,293,EUR,100.447329,5.18,102.198671,2.98
XS1629918415,14.06.2025,368,EUR,101.542361,5.00,103.335120,3.15
XS1909184753,16.02.2026,615,EUR,102.253087,4.80,104.152503,3.64
XS2361850527,08.07.2027,1122,EUR,102.830254,4.81,104.734161,4.14
XS2790222116,21.05.2030,2170,EUR,100.937863,5.94,102.638055,5.60
