Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CW86,14.11.2024,58,USD,101.261333,9.60,102.722444,0.49
US900123AW05,05.02.2025,141,USD,101.004417,6.93,102.577389,2.86
US900123CX69,13.03.2025,177,USD,98.878222,6.72,100.434833,3.48
US900123CZ18,14.10.2025,392,USD,103.474375,5.63,105.168792,4.03
US900123DB31,26.01.2026,496,USD,99.690917,5.51,101.407306,4.20
US900123CJ75,14.04.2026,574,USD,99.969250,5.48,101.689861,4.34
US900123CK49,09.10.2026,752,USD,100.820583,5.56,102.547667,4.68
US900123CL22,25.03.2027,919,USD,103.804667,5.60,105.605000,4.84
USM88269US88,24.09.2027,1102,USD,112.167778,5.67,113.930556,5.07
US900123DF45,15.01.2028,1215,USD,113.783694,5.82,115.543556,5.29
US900123CP36,17.02.2028,1248,USD,98.403083,5.78,100.214556,5.20
US900123CQ19,24.10.2028,1498,USD,103.262986,5.89,105.092014,5.40
US900123DH01,14.03.2029,1639,USD,112.369125,6.20,114.134208,5.79
US900123CT57,26.04.2029,1682,USD,108.464458,6.24,110.298819,5.80
US900123AL40,15.01.2030,1946,USD,130.014139,5.71,132.070111,5.33
US900123CY43,13.03.2030,2003,USD,95.353333,6.28,97.252500,5.86
US900123DJ66,13.07.2030,2125,USD,114.361222,6.46,116.143917,6.13
US900123DA57,15.01.2031,2311,USD,97.673722,6.60,99.446778,6.26
US900123DC14,26.06.2031,2473,USD,97.122875,6.65,98.965514,6.31
US900123DL13,17.07.2032,2860,USD,103.332500,6.77,105.042083,6.49
US900123DG28,19.01.2033,3046,USD,117.500417,6.83,119.365500,6.56
US900123DD96,20.09.2033,3290,USD,101.068833,6.82,102.986944,6.54
US900123AT75,14.02.2034,3437,USD,110.228333,6.63,112.220778,6.36
US900123DK30,15.05.2034,3527,USD,108.013028,6.85,109.765389,6.61
US900123AY60,17.03.2036,4199,USD,0.000000,0.00,0.000000,0.00
US900123BB58,05.03.2038,4917,USD,102.801667,6.95,105.036944,6.71
US900123BG46,30.05.2040,5734,USD,97.240250,7.26,99.329750,7.04
US900123BJ84,14.01.2041,5963,USD,88.188000,7.37,90.178333,7.14
US900123CB40,16.04.2043,6785,USD,76.658792,7.41,78.519875,7.19
US900123CG37,17.02.2045,7458,USD,90.805083,7.57,92.682889,7.38
US900123CM05,11.05.2047,8271,USD,82.420500,7.57,84.285444,7.37
XS1843443356,31.03.2025,195,EUR,101.887110,5.03,103.590452,1.89
XS1629918415,14.06.2025,270,EUR,99.790890,4.69,101.679699,2.10
XS1909184753,16.02.2026,517,EUR,104.091437,4.40,106.044852,3.00
XS2361850527,08.07.2027,1024,EUR,101.194027,4.24,103.170000,3.50
XS2790222116,21.05.2030,2072,EUR,105.972260,5.22,107.929452,4.83
