Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CV04,10.08.2024,12,USD,102.257972,29.35,103.774611,0.00
US900123CW86,14.11.2024,108,USD,100.211667,8.86,101.890222,3.09
US900123AW05,05.02.2025,191,USD,103.537583,7.42,105.089069,4.38
US900123CX69,13.03.2025,227,USD,99.657556,7.50,101.460361,4.50
US900123CZ18,14.10.2025,442,USD,101.400375,6.77,103.122083,5.29
US900123DB31,26.01.2026,546,USD,97.616583,6.48,99.221778,5.34
US900123CJ75,14.04.2026,624,USD,97.696583,6.47,99.433389,5.38
US900123CK49,09.10.2026,802,USD,98.309583,6.45,99.971125,5.62
US900123CL22,25.03.2027,969,USD,100.920667,6.47,102.652333,5.76
USM88269US88,24.09.2027,1152,USD,108.856111,6.51,110.632000,5.91
US900123DF45,15.01.2028,1265,USD,110.456028,6.57,112.205458,6.04
US900123CP36,17.02.2028,1298,USD,97.866250,6.55,99.478486,6.03
US900123CQ19,24.10.2028,1548,USD,99.874319,6.60,101.515333,6.15
US900123DH01,14.03.2029,1689,USD,112.987625,6.94,114.721667,6.53
US900123CT57,26.04.2029,1732,USD,104.534792,6.98,106.366972,6.53
US900123AL40,15.01.2030,1996,USD,126.344806,6.21,128.546792,5.80
US900123CY43,13.03.2030,2053,USD,94.329333,6.91,96.187917,6.50
US900123DJ66,13.07.2030,2175,USD,110.306556,7.06,112.039903,6.72
US900123DA57,15.01.2031,2361,USD,94.034389,7.16,95.742917,6.82
US900123DC14,26.06.2031,2523,USD,93.294542,7.22,95.147861,6.87
US900123DL13,17.07.2032,2910,USD,99.345500,7.27,100.914292,7.02
US900123DG28,19.01.2033,3096,USD,113.012417,7.33,114.833458,7.06
US900123DD96,20.09.2033,3340,USD,97.264167,7.27,99.059222,6.99
US900123AT75,14.02.2034,3487,USD,110.034667,7.07,111.806889,6.83
US900123DK30,15.05.2034,3577,USD,103.575361,7.33,105.260542,7.10
US900123AY60,17.03.2036,4249,USD,97.979833,7.46,99.778931,7.23
US900123BB58,05.03.2038,4967,USD,101.823000,7.38,103.700139,7.16
US900123BG46,30.05.2040,5784,USD,92.790250,7.66,94.938000,7.42
US900123BJ84,14.01.2041,6013,USD,84.134000,7.75,86.010667,7.52
US900123CB40,16.04.2043,6835,USD,72.503792,7.84,74.226333,7.62
US900123CG37,17.02.2045,7508,USD,89.806250,7.93,91.590653,7.74
US900123CM05,11.05.2047,8321,USD,78.255833,7.95,79.958806,7.76
XS1843443356,31.03.2025,245,EUR,101.099548,5.20,102.795890,2.67
XS1629918415,14.06.2025,320,EUR,98.809685,5.13,100.579493,3.05
XS1909184753,16.02.2026,567,EUR,102.731055,4.90,104.519470,3.72
XS2361850527,08.07.2027,1074,EUR,99.130712,4.79,100.979685,4.11
XS2790222116,21.05.2030,2122,EUR,102.318466,5.81,103.952658,5.49
