Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3006,USD,105.799306,5.11,109.629167,4.57
US900123AW05,05.02.2025,3326,USD,118.450000,5.21,122.052431,4.77
US900123CJ75,14.04.2026,3759,USD,93.135417,5.23,96.694444,4.78
US900123AL40,15.01.2030,5131,USD,167.659722,5.47,171.574653,5.19
US900123AT75,14.02.2034,6622,USD,126.750000,5.86,130.611111,5.57
US900123AY60,17.03.2036,7384,USD,112.697917,5.95,116.543403,5.66
US900123BB58,05.03.2038,8102,USD,118.045833,5.96,121.896528,5.69
US900123BG46,30.05.2040,8919,USD,110.293750,5.98,114.137500,5.72
US900123BJ84,14.01.2041,9148,USD,103.250000,5.96,107.083333,5.68
US900123CB40,16.04.2043,9970,USD,87.488542,5.87,91.306250,5.57
US900123CG37,17.02.2045,10643,USD,113.179167,5.85,117.021181,5.61
