Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CR91,23.12.2023,123,USD,100.722194,8.57,102.802472,2.42
US900123CF53,22.03.2024,213,USD,100.954833,8.32,103.080778,4.58
US900123CV04,10.08.2024,354,USD,98.808667,7.88,100.983944,5.55
US900123CW86,14.11.2024,450,USD,98.704444,8.05,100.861556,6.19
US900123AW05,05.02.2025,533,USD,99.661264,7.88,101.838236,6.31
US900123CX69,13.03.2025,569,USD,96.276083,8.15,98.441694,6.63
US900123CZ18,14.10.2025,784,USD,98.600667,8.27,100.740083,7.17
US900123DB31,26.01.2026,888,USD,92.583056,8.34,94.759444,7.32
US900123CJ75,14.04.2026,966,USD,91.924111,8.36,94.113722,7.39
US900123CK49,09.10.2026,1144,USD,92.279042,8.39,94.470125,7.56
US900123CL22,25.03.2027,1311,USD,94.769000,8.52,97.040333,7.77
USM88269US88,24.09.2027,1494,USD,103.629556,8.57,105.899333,7.92
US900123DF45,15.01.2028,1607,USD,104.760931,8.82,106.955792,8.25
US900123CP36,17.02.2028,1640,USD,87.777181,8.48,89.977653,7.85
US900123CQ19,24.10.2028,1890,USD,92.011639,8.55,94.219667,8.00
US900123DH01,14.03.2029,2031,USD,105.761583,8.99,107.965667,8.50
US900123CT57,26.04.2029,2074,USD,97.451944,8.76,99.742306,8.24
US900123AL40,15.01.2030,2338,USD,116.833486,8.64,119.523458,8.15
US900123CY43,13.03.2030,2395,USD,84.964750,8.79,87.183917,8.30
US900123DJ66,13.07.2030,2517,USD,101.206542,9.08,103.401236,8.66
US900123DA57,15.01.2031,2703,USD,85.167528,8.84,87.428583,8.38
US900123DC14,26.06.2031,2865,USD,84.355889,8.84,86.610528,8.41
US900123DG28,19.01.2033,3438,USD,102.235375,9.15,104.461458,8.81
US900123DD96,20.09.2033,3682,USD,88.028444,8.72,90.346556,8.35
US900123AT75,14.02.2034,3829,USD,95.802778,8.64,98.361222,8.27
US900123AY60,17.03.2036,4591,USD,87.599069,8.93,90.109264,8.57
US900123BB58,05.03.2038,5309,USD,90.427194,8.85,93.003472,8.51
US900123BG46,30.05.2040,6126,USD,81.428500,9.11,83.976000,8.77
US900123BJ84,14.01.2041,6355,USD,74.334333,9.02,76.707667,8.70
US900123CB40,16.04.2043,7177,USD,64.942250,8.85,67.237333,8.52
US900123CG37,17.02.2045,7850,USD,76.698014,9.13,79.056819,8.83
US900123CM05,11.05.2047,8663,USD,69.371194,9.08,71.669139,8.77
XS1843443356,31.03.2025,587,EUR,99.832672,5.94,102.023945,4.49
XS1629918415,14.06.2025,662,EUR,95.949705,6.04,98.139464,4.71
XS1909184753,16.02.2026,909,EUR,100.102110,6.33,102.314603,5.35
XS2361850527,08.07.2027,1416,EUR,93.096910,6.61,95.326817,5.92
