Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CR91,23.12.2023,106,USD,101.128417,8.46,103.133972,1.70
US900123CF53,22.03.2024,196,USD,101.330389,8.30,103.409278,4.40
US900123CV04,10.08.2024,337,USD,99.271889,7.74,101.395444,5.40
US900123CW86,14.11.2024,433,USD,99.168333,7.94,101.282556,6.09
US900123AW05,05.02.2025,516,USD,100.114042,7.80,102.250986,6.24
US900123CX69,13.03.2025,552,USD,96.740972,8.06,98.848194,6.57
US900123CZ18,14.10.2025,767,USD,99.278000,8.10,101.348833,7.04
US900123DB31,26.01.2026,871,USD,93.347167,8.13,95.474944,7.14
US900123CJ75,14.04.2026,949,USD,92.760000,8.13,94.887222,7.20
US900123CK49,09.10.2026,1127,USD,93.256708,8.14,95.387875,7.34
US900123CL22,25.03.2027,1294,USD,95.825667,8.28,98.052333,7.55
USM88269US88,24.09.2027,1477,USD,104.902778,8.31,107.151333,7.68
US900123DF45,15.01.2028,1590,USD,106.107819,8.57,108.267542,8.01
US900123CP36,17.02.2028,1623,USD,89.017958,8.21,91.154903,7.61
US900123CQ19,24.10.2028,1873,USD,93.357861,8.29,95.510917,7.77
US900123DH01,14.03.2029,2014,USD,107.094250,8.78,109.263417,8.31
US900123CT57,26.04.2029,2057,USD,98.913833,8.50,101.145556,8.01
US900123AL40,15.01.2030,2321,USD,118.026264,8.50,120.788208,8.01
US900123CY43,13.03.2030,2378,USD,86.085083,8.60,88.295417,8.13
US900123DJ66,13.07.2030,2500,USD,102.098097,8.98,104.266486,8.58
US900123DA57,15.01.2031,2686,USD,86.278972,8.67,88.492083,8.24
US900123DC14,26.06.2031,2848,USD,85.550000,8.67,87.758278,8.25
US900123DG28,19.01.2033,3421,USD,104.187042,8.91,106.386208,8.58
US900123DD96,20.09.2033,3665,USD,89.495333,8.53,91.832556,8.17
US900123AT75,14.02.2034,3812,USD,97.187333,8.49,99.771222,8.12
US900123AY60,17.03.2036,4574,USD,89.129625,8.76,91.688014,8.40
US900123BB58,05.03.2038,5292,USD,88.295417,8.69,90.960972,8.35
US900123BG46,30.05.2040,6109,USD,83.293500,8.90,85.938500,8.56
US900123BJ84,14.01.2041,6338,USD,75.860000,8.85,78.339667,8.52
US900123CB40,16.04.2043,7160,USD,66.350917,8.68,68.667083,8.36
US900123CG37,17.02.2045,7833,USD,78.337458,8.95,80.744069,8.66
US900123CM05,11.05.2047,8646,USD,70.911750,8.91,73.232639,8.61
XS1843443356,31.03.2025,570,EUR,100.792495,5.46,102.883041,4.07
XS1629918415,14.06.2025,645,EUR,96.967661,5.56,99.053180,4.30
XS1909184753,16.02.2026,892,EUR,101.226301,5.94,103.348288,5.01
XS2361850527,08.07.2027,1399,EUR,94.305120,6.31,96.447934,5.67
